name	hdr	cited-pid	twin-path	twin-pid	status	print
GetUdpStatistics	include/Iphlpapi.h	ms890309	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee494233.html	ee494233	twin-match	 | DWORD GetUdpStatistics(PMIB_UDPSTATS)
GetUdpStatisticsEx	include/Iphlpapi.h	ms890310	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-net-4x/ms927396.html	ms927396	twin-match	 | DWORD GetUdpStatisticsEx(PMIB_UDPSTATS, DWORD)
GetUdpTable	include/Iphlpapi.h	ms890311	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee493220.html	ee493220	twin-match	 | DWORD GetUdpTable(PMIB_UDPTABLE, PDWORD, BOOL)
GetUniDirectionalAdapterInfo	include/Iphlpapi.h	ms890312	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee493427.html	ee493427	twin-match	 | DWORD GetUniDirectionalAdapterInfo(PIP_UNIDIRECTIONAL_ADAPTER_ADDRESS, PULONG)
GetUpdateRect	include/Winuser.h	aa453174	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501189.html	ee501189	twin-match	 | BOOL GetUpdateRect(HWND, LPRECT, BOOL)
GetUpdateRgn	include/Winuser.h	aa453175	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee500868.html	ee500868	twin-match	 | int GetUpdateRgn(HWND, HRGN, BOOL)
GetVersionEx	include/Winbase.h	ms885648	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee488165.html	ee488165	twin-match	 | BOOL GetVersionEx(LPOSVERSIONINFO)
GetViewportExtEx	include/Wingdi.h	aa453949	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa453949.html		no-print-in-twin	
GetViewportOrgEx	include/Wingdi.h	aa453950	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa453950.html		no-print-in-twin	
GetWindowDC	include/Winuser.h	aa453179	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee500451.html	ee500451	twin-match	 | HDC GetWindowDC(HWND)
GetWindowExtEx	include/Wingdi.h	aa453951	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa453951.html		no-print-in-twin	
GetWindowOrgEx	include/Wingdi.h	aa453952	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa453952.html		no-print-in-twin	
GlobalDeleteAtom	include/Windows.h	aa453188	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa453189.html	aa453189	twin-match	 | ATOM GlobalDeleteAtom(ATOM)
GlobalFindAtomW	include/Windows.h	aa453189			no-twin-page	
GlobalMemoryStatus	include/Winbase.h	ms885649	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee488170.html	ee488170	twin-diff	ret: hdr='VOID' twin='void' | void GlobalMemoryStatus(LPMEMORYSTATUS)
Heap32ListNext	include/Tlhelp32.h	ms885651	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms885652.html	ms885652	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI' | BOOL WINAPI Heap32ListNext(HANDLE, LPHEAPLIST32)
Heap32Next	include/Tlhelp32.h	ms885650	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms885653.html	ms885653	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI' | BOOL WINAPI Heap32Next(HANDLE, LPHEAPENTRY32)
HeapCreate	include/Winbase.h	ms885656	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee488381.html	ee488381	twin-match	 | HANDLE HeapCreate(DWORD, DWORD, DWORD)
HeapDestroy	include/Winbase.h	ms885657	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee488651.html	ee488651	twin-match	 | BOOL HeapDestroy(HANDLE)
HeapFree	include/Winbase.h	ms885659	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee488228.html	ee488228	twin-match	 | BOOL HeapFree(HANDLE, DWORD, LPVOID)
