id	title	kind	namespace	assembly	platforms	cf_supported
bb154879	ItemAttachmentType Constructor  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb154974	RestrictionType Constructor  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb154980	ItemResponseShapeType Constructor  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb155005	ContainmentModeType Enumeration (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb155078	FixedPoint.IConvertible.ToInt16 Method  (Microsoft.WindowsMobile.DirectX.Direct3D)		Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5,2.0
bb155130	DeleteItemType Members (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)					-
bb155147	CreateItemType.SavedItemFolderId Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb155174	AvailabilityProxyRequestType Class (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb155214	ExchangeServiceBinding.SerializedSecurityContext Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb155230	AvailabilityProxyRequestType Members (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)					-
bb155234	ExistsType.Item Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb155321	FolderIdType Constructor  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb155328	DistinguishedFolderIdType Class (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb155671	DeleteItemResponseType Constructor  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb155678	FolderType Class (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb155823	SidAndAttributesType Constructor  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb155890	FindFolderResponseMessageType Constructor  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb155928	ItemIdType Members (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)					-
bb155974	RestrictionType.Item Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb155986	GroupedItemsType.GroupIndex Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb156007	IsGreaterThanOrEqualToType Constructor  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb156008	FindFolderType Constructor  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb156102	ItemResponseShapeType.IncludeMimeContentSpecified Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb156161	ItemResponseShapeType Class (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb156252	ResponseObjectType Class (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb156298	InternetHeaderType.HeaderName Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb156305	ItemType.ItemId Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
