id	title	kind	namespace	assembly	cf_supported	ce_generations	path
ms130231(v=vs.90)	DestinationBlend Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/RenderStateManager Class/RenderStateManager Properties /DestinationBlend Property 
ms129161(v=vs.90)	DestinationBlendCaps Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Caps Structure/Caps Properties /DestinationBlendCaps Property 
ms129551(v=vs.90)	Device Class	Class	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Device Class
ms129554(v=vs.90)	Device Constructor (Int32, DeviceType, Control, CreateFlags, PresentParameters)		Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Device Class/Device Constructor /Device Constructor (Int32, DeviceType, Control, CreateFlags, PresentParameters)
ms129556(v=vs.90)	Device Constructor (Int32, DeviceType, IntPtr, CreateFlags, PresentParameters)		Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Device Class/Device Constructor /Device Constructor (Int32, DeviceType, IntPtr, CreateFlags, PresentParameters)
ms129092(v=vs.90)	Device Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/BaseMesh Class/BaseMesh Properties /Device Property 
ms129800(v=vs.90)	Device Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Font Class/Font Properties /Device Property 
ms130279(v=vs.90)	Device Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Resource Class/Resource Properties /Device Property 
ms130316(v=vs.90)	Device Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Sprite Class/Sprite Properties /Device Property 
ms130356(v=vs.90)	Device Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Surface Class/Surface Properties /Device Property 
ms129162(v=vs.90)	DeviceCaps Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Caps Structure/Caps Properties /DeviceCaps Property 
ms129616(v=vs.90)	DeviceCaps Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Device Class/Device Properties /DeviceCaps Property 
ms129637(v=vs.90)	DeviceCaps Structure	Structure	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/DeviceCaps Structure
ms129649(v=vs.90)	DeviceCreationParameters Structure	Structure	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/DeviceCreationParameters Structure
