name	min_ce	versions	header	lib	in_include
NLedDriverInitialize	1.0	1.0 and later	Led_drvr.h		1
NLedDriverPowerDown	1.0	1.0 and later	Led_drvr.h		1
NLedDriverSetDevice	1.0	1.0 and later	Led_drvr.h		1
NM_BASE	2.0	2.0 and later	Htmlctrl.h		0
NM_CLICK	2.0	2.0 and later	Commctrl.h		1
NM_CONTEXTMENU	2.0	2.0 and later	Htmlctrl.h		0
NM_CUSTOMDRAW	2.0	2.0 and later	Commctrl.h		1
NM_DBLCLK	2.0	2.0 and later	Commctrl.h		1
NM_HOTSPOT	2.0	2.0 and later	Htmlctrl.h		0
NM_HOVER	2.0	2.0 and later	Commctrl.h		1
NM_HTMLCONTEXT	2.0	2.0 and later	Htmlctrl.h		0
NM_HTMLVIEW	1.0	1.0 and later	Htmlctrl.h		0
NM_INLINE_IMAGE	1.0	1.0 and later	Htmlctrl.h		0
NM_INLINE_SOUND	1.0	1.0 and later	Htmlctrl.h		0
NM_KEYDOWN	2.0	2.0 and later	Commctrl.h		1
NM_KILLFOCUS	2.0	2.0 and later	Commctrl.h		1
NM_META	1.0	1.0 and later	Htmlctrl.h		0
NM_NCHITTEST	2.0	2.0 and later	Commctrl.h		1
NM_OUTOFMEMORY	2.0	2.0 and later	Commctrl.h		1
NM_RCLICK	2.0	2.0 and later	Commctrl.h		1
NM_RDBLCLK	2.0	2.0 and later	Commctrl.h		1
NM_RETURN	2.0	2.0 and later	Commctrl.h		1
NM_SETFOCUS	2.0	2.0 and later	Commctrl.h		1
NM_TITLE	1.0	1.0 and later	Htmlctrl.h		0
NM_TREEVIEW	1.0	1.0 and later	Commctrl.h		1
NMCUSTOMDRAW	2.0	2.0 and later	Commctrl.h		1
NMDATETIMECHANGE	2.0	2.0 and later	Commctrl.h		1
NMDATETIMEFORMAT	2.0	2.0 and later	Commctrl.h		1
NMDATETIMEFORMATQUERY	2.0	2.0 and later	Commctrl.h		1
NMDATETIMESTRING	2.0	2.0 and later	Commctrl.h		1
NMDATETIMEWMKEYDOWN	2.0	2.0 and later	Commctrl.h		1
NMDAYSTATE	2.0	2.0 and later	Commctrl.h		1
NMHDDISPINFO	2.0	2.0 and later	Commctrl.h		1
NMHDR	1.0	1.0 and later	Winuser.h		1
NMHEADER	2.0	2.0 and later	Commctrl.h		1
NMKEY	2.0	2.0 and later	Commctrl.h		1
NMLISTVIEW	2.0	2.0 and later	Commctrl.h		1
NMLVCACHEHINT	2.0	2.0 and later	Commctrl.h		1
NMLVCUSTOMDRAW	2.0	2.0 and later	Commctrl.h		1
NMLVFINDITEM	2.0	2.0 and later	Commctrl.h		1
NMLVKEYDOWN	2.0	2.0 and later	Commctrl.h		1
NMLVODSTATECHANGE	2.0	2.0 and later	Commctrl.h		1
NMMOUSE	2.0	2.0 and later	Commctrl.h		1
NMRBAUTOSIZE	2.0	2.0 and later	Commctrl.h		1
NMREBAR	2.0	2.0 and later	Commctrl.h		1
NMSELCHANGE	2.0	2.0 and later	Commctrl.h		1
NMTCKEYDOWN	2.0	2.0 and later	Commctrl.h		1
NMTOOLBAR	2.0	2.0 and later	Commctrl.h		1
NMTVCUSTOMDRAW	2.0	2.0 and later	Commctrl.h		1
NMTVKEYDOWN	2.0	2.0 and later	Commctrl.h		1
NMUPDOWN	2.0	2.0 and later	Commctrl.h		1
NotifyAddrChange	3.0	3.0 and later	Iphlpapi.h	Iphlpapi.lib	1
NOTIFYICONDATA	1.0	1.0 and later	Shellapi.h		1
NotifyPacket	2.10	2.10 and later	Notifext.hxx		0
NotifyRouteChange	3.0	3.0 and later	Iphlpapi.h	Iphlpapi.lib	1
NotifyWinUserSystem	2.10	2.10 and later	Pwinuser.h		0
NTLMDeleteUser	3.0	3.0 and later	NTLMSSP.dll		1
NTLMEnumUser	3.0	3.0 and later	NTLMSSP.dll		1
NTLMSetUserInfo	3.0	3.0 and later	NTLMSSP.dll		1
ntohl	1.0	1.0 and later	Winsock.h		1
ntohs	1.0	1.0 and later	Winsock.h		1
NUMBERFMT	1.0	1.0 and later	Winnls.h		1
OaBuildVersion	2.0	2.0 and later	Oleauto.h	Oleaut32.lib	0
ObjectNotify	2.0	2.0 and later	Cesync.h		1
OBJNOTIFY	2.0	2.0 and later	Cesync.h		1
OBJTYPEINFO	2.0	2.0 and later	Cesync.h		1
OBJUIDATA	2.0	2.0 and later	Cesync.h		1
OEMARMCacheMode	3.0	3.0 and later	Cache.s		0
OEMCertifyModule	2.10	2.10 and later			0
OEMCertifyModuleInit	2.10	2.10 and later			0
OEMClearDebugCommError	2.10	2.10 and later	Nkintr.h		0
OEMEthDisableInts	2.10	2.10 and later	Halether.h		0
OEMEthEnableInts	2.10	2.10 and later	Halether.h		0
OEMEthGetFrame	2.10	2.10 and later	Halether.h		0
OEMEthGetSecs	2.10	2.10 and later	Halether.h		0
OEMEthInit	2.10	2.10 and later	Halether.h		0
OEMEthISR	2.10	2.10 and later	Halether.h		0
OEMEthQueryClientInfo	2.10	2.10 and later	Halether.h		0
OEMEthSendFrame	2.10	2.10 and later	Halether.h		0
OEMExtraCCR	2.10	2.10 and later			0
OEMFlushCache	3.0	3.0 and later			0
OEMGetExtensionDRAM	2.10	2.10 and later	Nkintr.h		0
OEMGetRealTime	2.10	2.10 and later	Nkintr.h		0
OEMIdle	2.10	2.10 and later	Cfwp2.c		0
OEMInit	2.10	2.10 and later	Nkintr.h		1
OEMInitDebugSerial	2.10	2.10 and later	Nkintr.h		0
OEMInitPageTable	2.10	2.10 and later	Oeminit.asm		0
OEMInterruptDisable	2.10	2.10 and later	Nkintr.h		0
OEMInterruptDone	2.10	2.10 and later	Nkintr.h		0
OEMInterruptEnable	2.10	2.10 and later	Nkintr.h		0
OEMInterruptHandler	3.0	3.0 and later			0
OEMInterruptHandlerFIQ	3.0	3.0 and later			0
OEMIoControl	2.10	2.10 and later	Oemioctl.c		0
OEMKDIoControl	3.0	3.0 and later	Pkfuncs.h		0
OEMMemoryMap	3.0	3.0 and later			0
OEMNMIHandler	2.10	2.10 and later	Fwpc.c		0
OEMParallelPortGetByte	2.10	2.10 and later	Nkintr.h		0
OEMParallelPortGetStatus	2.10	2.10 and later	Oemboot.c		0
OEMParallelPortSendByte	2.10	2.10 and later	Nkintr.h		0
OEMPowerOff	2.10	2.10 and later	Nkintr.h		0
OEMProfileTimerDisable	2.10	2.10 and later	Profiler.h		0
OEMProfileTimerEnable	2.10	2.10 and later	Profiler.h		0
OEMReadDebugByte	2.12	2.12 and later	Nkintr.h		0
OEMSetAlarmTime	2.10	2.10 and later	Nkintr.h		0
OEMSetRealTime	2.10	2.10 and later	Nkintr.h		0
OEMWriteDebugByte	2.10	2.10 and later	Nkintr.h		0
OEMWriteDebugLED	2.10	2.10 and later	Nkintr.h		0
OEMWriteDebugString	2.10	2.10 and later	Nkintr.h		0
OffsetRect	1.0	1.0 and later	Winuser.h	Rectapi.lib	1
OffsetRgn	1.0	1.0 and later	Wingdi.h	Rectapi.lib	1
OFNOTIFY	1.0	1.0 and later	Commdlg.h		1
OhcdMdd_CreateMemoryObject	1.0	1.0 and later	Ohcdddsi.h		0
OhcdMdd_CreateOhcdObject	1.0	1.0 and later	Ohcdddsi.h		0
OhcdMdd_DestroyMemoryObject	1.0	1.0 and later	Ohcdddsi.h		0
OhcdMdd_DestroyOhcdObject	1.0	1.0 and later	Ohcdddsi.h		0
OhcdMdd_PowerDown	1.0	1.0 and later	Ohcdddsi.h		0
OhcdMdd_PowerUp	1.0	1.0 and later	Ohcdddsi.h		0
OhcdPdd_CheckConfigPower	1.0	1.0 and later	Ohcdddsi.h		0
OhcdPdd_Close	1.0	1.0 and later	Ohcdddsi.h		0
OhcdPdd_Deinit	1.0	1.0 and later	Ohcdddsi.h		0
OhcdPdd_DllMain	1.0	1.0 and later	Ohcdddsi.h		0
OhcdPdd_Init	1.0	1.0 and later	Ohcdddsi.h		0
OhcdPdd_IOControl	1.0	1.0 and later	Ohcdddsi.h		0
OhcdPdd_Open	1.0	1.0 and later	Ohcdddsi.h		0
OhcdPdd_PowerDown	1.0	1.0 and later	Ohcdddsi.h		0
OhcdPdd_PowerUp	1.0	1.0 and later	Ohcdddsi.h		0
OhcdPdd_Read	1.0	1.0 and later	Ohcdddsi.h		0
OhcdPdd_Seek	1.0	1.0 and later			0
OhcdPdd_Write	1.0	1.0 and later	Ohcdddsi.h		0
OleCreate	2.0	2.0 and later	Ole2.h	Ole232.lib	1
OleCreateFontIndirect	2.0	2.0 and later	Olectl.h	Oleaut32.lib	0
OleCreatePropertyFrame	2.0	2.0 and later	Olectl.h	Oleaut32.lib	0
OleDraw	2.0	2.0 and later	Ole2.h	Ole232.lib	1
OleIsRunning	2.0	2.0 and later	Ole2.h	Ole232.lib	1
OleLoadFromStream	3.0	3.0 and later	Ole2.h	Ole232.lib	1
OleRun	2.0	2.0 and later	Ole2.h	Ole232.lib	1
OleSave	2.0	2.0 and later	Ole2.h	Ole232.lib	1
OleSaveToStream	3.0	3.0 and later	Ole2.h	Ole232.lib	1
OleSetContainedObject	2.0	2.0 and later	Ole2.h	Ole232.lib	1
OleSetMenuDescriptor	2.0	2.0 and later	Ole2.h	Ole232.lib	1
OomUI_CreateNotRespondingWindow	2.10	2.10 and later	Oomui.h		0
OomUI_CreateOomWindow	2.10	2.10 and later	Oomui.h		0
OomUI_FShowOomWindow	2.10	2.10 and later	Oomui.h		0
OomUI_Initialize	2.10	2.10 and later	Oomui.h		0
OomUI_NotRespondingWndProc	2.10	2.10 and later	Oomui.h		0
OomUI_OnShow	2.10	2.10 and later	Oomui.h		0
OomUI_OomWndProc	2.10	2.10 and later	Oomui.h		0
OomUI_SetWindowsInfo	2.10	2.10 and later	Oomui.h		0
OomUICallback_CloseWindow	2.10	2.10 and later	Oomui.h		0
OomUICallback_IsCritical	2.10	2.10 and later	Oomui.h		0
OomUICallback_NonClientPaint	2.10	2.10 and later	Oomui.h		0
OpenClientRegistryKey	2.10	2.10 and later			0
OpenClipboard	1.0	1.0 and later	Winuser.h	Clipbd.lib	1
OPENFILENAME	1.0	1.0 and later	Commdlg.h		1
OpenPipe	2.10	2.10 and later			0
OpenProcess	2.0	2.0 and later	Winbase.h		1
OSVERSIONINFO	1.0	1.0 and later	Winbase.h		1
OUTPUT_DEBUG_STRING_INFO	2.0	2.0 and later	Winbase.h		1
OutputDebugString	1.0	1.0 and later	Winbase.h	Nk.lib	1
PagePaintHook	2.10	2.10 and later	Commdlg.h		1
PAGESETUPDLG	2.10	2.10 and later	Commdlg.h		1
PageSetupDlg	2.10	2.10 and later	Commdlg.h	Commdlg.lib	1
PageSetupHook	2.10	2.10 and later	Commdlg.h		1
PAINTSTRUCT	1.0	1.0 and later	Winuser.h		1
PALETTEENTRY	2.0	2.0 and later	Wingdi.h		1
PALETTERGB	1.0	1.0 and later	Wingdi.h		1
PARAMDATA	2.0	2.0 and later	Oleauto.h		1
PARAMDESC	2.0	2.0 and later	Oaidl.h		1
PARSED_CFTABLE	1.0	1.0 and later			1
PARSED_CONFIG	1.0	1.0 and later			1
PatBlt	1.0	1.0 and later	Wingdi.h	Mgblt2.lib, Mgdraw.lib	1
PBM_DELTAPOS	1.0	1.0 and later	Commctrl.h		1
PBM_GETPOS	2.0	2.0 and later	Commctrl.h		1
PBM_GETRANGE	2.0	2.0 and later	Commctrl.h		1
PBM_SETPOS	2.0	2.0 and later	Commctrl.h		1
PBM_SETRANGE	1.0	1.0 and later	Commctrl.h		1
PBM_SETRANGE32	2.0	2.0 and later	Commctrl.h		1
PBM_SETSTEP	1.0	1.0 and later	Commctrl.h		1
PBM_STEPIT	1.0	1.0 and later	Commctrl.h		1
PBRANGE	2.0	2.0 and later	Commctrl.h		1
PDCARD_ADAPTER_INFO	1.0	1.0 and later	Sockserv.h		0
PDCARD_POWER_ENTRY	1.0	1.0 and later	Sockserv.h		0
PDCARD_SOCKET_STATE	1.0	1.0 and later	Sockserv.h		0
PDCARD_WINDOW_INFO	1.0	1.0 and later	Sockserv.h		0
PDCARD_WINDOW_STATE	1.0	1.0 and later	Sockserv.h		0
PDCardGetAdapter	1.0	1.0 and later			0
PDCardGetSocket	1.0	1.0 and later			0
PDCardGetWindow	1.0	1.0 and later			0
PDCardInquireAdapter	1.0	1.0 and later			0
PDCardInquireWindow	1.0	1.0 and later			0
PDCardReadAttrByte	1.0	1.0 and later			0
PDCardReadCmnByte	1.0	1.0 and later			0
PDCardResetSocket	1.0	1.0 and later			0
PDCardSetAdapter	1.0	1.0 and later			0
PDCardSetSocket	1.0	1.0 and later			0
PDCardSetWindow	1.0	1.0 and later			0
PDCardWriteAttrByte	1.0	1.0 and later			0
PDCardWriteCmnByte	1.0	1.0 and later			0
PDD_AudioDeinitialize	1.0	1.0 and later	Waveddsi.h		1
PDD_AudioGetInterruptType	1.0	1.0 and later	Waveddsi.h		1
PDD_AudioInitialize	1.0	1.0 and later	Waveddsi.h		1
PDD_AudioMessage	1.0	1.0 and later	Waveddsi.h		1
PDD_AudioPowerHandler	1.0	1.0 and later	Waveddsi.h		1
PDD_WaveProc	1.0	1.0 and later	Waveddsi.h		1
PeekMessage	1.0	1.0 and later	Winuser.h	Msgque.lib	1
PEG_USER_NOTIFICATION	1.0	1.0 and later	Rapi.h		0
PerfCountSinceTick	3.0	3.0 and later			0
PersistentPacket	2.10	2.10 and later	Notifext.hxx		0
PFF_CONVERTINFO	1.0	1.0 and 1.01	Replfilt.h		1
PFF_DESTINATIONFILE	1.0	1.0 and 1.01	Replfilt.h		1
PFF_SOURCEFILE	1.0	1.0 and 1.01	Replfilt.h		1
phoneCallbackFunc	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneClose	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneConfigDialog	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneDevSpecific	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneGetDevCaps	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneGetGain	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneGetHookSwitch	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneGetIcon	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneGetID	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneGetMessage	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneGetRing	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneGetStatus	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneGetStatusMessages	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneGetVolume	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneInitializeEx	3.0	3.0 and later	Tapi.h	Coredll.lib	1
PHONEINITIALIZEEXPARAMS	3.0	3.0 and later	Tapi.h		1
PHONEMESSAGE	3.0	3.0 and later	Tapi.h		1
phoneNegotiateAPIVersion	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneNegotiateExtVersion	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneOpen	3.0	3.0 and later	Tapi.h	Coredll.lib	1
