name	min_ce	versions	header	lib	in_include
_SH3CacheLines	2.10	2.10 and later			0
_SH3DSP	3.0	3.0 and later			0
_SH3FQCR_Fast	2.10	2.10 and later			0
_SH3FQCR_Slow	2.10	2.10 and later			0
_SH3InitialSR	2.10	2.10 and later			0
_SH4CacheLines	3.0	3.0 and later			0
AbnormalTermination	1.0	1.0 and later	Excpt.h	Coredll.lib	1
AbortDoc	2.0	2.0 and later	Wingdi.h	Mgprint.lib	1
AbortPipeTransfers	2.10	2.10 and later			0
AbortTransfer	2.10	2.10 and later			1
ACCEL	1.0	1.0 and later	Winuser.h		1
accept	1.0	1.0 and later	Winsock.h		1
ACM_Close	1.0	1.0 and later			1
ACM_Deinit	1.0	1.0 and later			1
ACM_Init	1.0	1.0 and later		Acmdwrap.lib	1
ACM_IOControl	1.0	1.0 and later		Acmdwrap.lib	1
ACM_Open	1.0	1.0 and later		Acmdwrap.lib	1
ACM_PowerDown	1.0	1.0 and later		Acmdwrap.lib	1
ACM_PowerUp	1.0	1.0 and later		Acmdwrap.lib	1
ACM_Read	1.0	1.0 and later		Acmdwrap.lib	1
ACM_Seek	1.0	1.0 and later		Acmdwrap.lib	1
ACM_Write	1.0	1.0 and later		Acmdwrap.lib	1
ACMDM_DRIVER_ABOUT	1.0	1.0 and later			1
ACMDM_DRIVER_DETAILS	1.0	1.0 and later			1
ACMDM_DRIVER_NOTIFY	3.0	3.0 and later			1
ACMDM_FILTER_DETAILS	1.0	1.0 and later			1
ACMDM_FILTERTAG_DETAILS	1.0	1.0 and later			1
ACMDM_FORMAT_DETAILS	1.0	1.0 and later			1
ACMDM_FORMAT_SUGGEST	1.0	1.0 and later			1
ACMDM_FORMATTAG_DETAILS	1.0	1.0 and later			1
ACMDM_HARDWARE_WAVE_CAPS_INPUT	1.0	1.0 and later			1
ACMDM_HARDWARE_WAVE_CAPS_OUTPUT	1.0	1.0 and later			1
ACMDM_STREAM_CLOSE	1.0	1.0 and later			1
ACMDM_STREAM_CONVERT	1.0	1.0 and later			1
ACMDM_STREAM_OPEN	1.0	1.0 and later			1
ACMDM_STREAM_PREPARE	1.0	1.0 and later			1
ACMDM_STREAM_RESET	1.0	1.0 and later			1
ACMDM_STREAM_SIZE	1.0	1.0 and later			1
ACMDM_STREAM_UNPREPARE	1.0	1.0 and later			1
ACMDRV_MESSAGE_PARAMS	1.0	1.0 and later			1
ACMDRVFORMATSUGGEST	1.0	1.0 and later	Msacmdrv.h		1
ACMDRVOPENDESC	1.0	1.0 and later	Msacmdrv.h		1
ACMDRVSTREAMHEADER	1.0	1.0 and later	Msacmdrv.h		1
ACMDRVSTREAMINSTANCE	1.0	1.0 and later	Msacmdrv.h		1
ACMDRVSTREAMSIZE	1.0	1.0 and later	Msacmdrv.h		1
AcquireCredentialsHandle	2.10	2.10 and later	Sspi.h	Schannel.lib	1
ActivateDevice	2.11	2.11 and later	Winbase.h	Coredll.lib	1
ActivateDevice	2.11	2.11 and later			1
AdapterIPProperties	2.10	2.10 and later	Netui.h		0
ADDCONNECT_DLGPARAMS	2.10	2.10 and later	Netui.h		0
AddFontResource	2.0	2.0 and later	Wingdi.h	Mgrast.lib Mgtt.lib	1
AddHeader	3.0	3.0 and later	Httpfilt.h	Httpfilt.lib	1
AddIPAddress	3.0	3.0 and later	Iphlpapi.h	Iphlpapi.lib	1
AddPropSheetPageProc	1.0	1.0 and later			1
AdjustWindowRectEx	1.0	1.0 and later	Winuser.h		1
ALG_ID	3.0	3.0 or later	Wincrypt.h		1
AllocMem	3.0	3.0 and later	Httpfilt.h	Httpfilt.lib	1
AppendMenu	1.0	1.0 and later	Winuser.h		1
ApplyControlToken	2.10	2.10 and later	Sspi.h	Schannel.lib	1
aPropID	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
aPropVar	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
ARGUMENT_PRESENT	2.0	2.0 and later	Ndis.h		0
ARRAYDESC	2.0	2.0 and later	Oaidl.h		1
AsnAny	3.0	3.0 and later	Snmp.h		1
AsnCounter64	3.0	3.0 and later	Snmp.h		1
AsnObjectIdentifier	3.0	3.0 and later	Snmp.h		1
AsnOctetString	3.0	3.0 and later	Snmp.h		1
ASSERT	2.0	2.0 and later	Ndis.h		1
ASSERT	2.10	2.10 and later	Dbgapi.h		1
ASSERTMSG	2.0	2.0 and later	Ndis.h		1
ASSERTMSG	2.10	2.10 and later	Dbgapi.h		1
aStatus	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
BATTERY_STATUS	1.0	1.0 and later	Battery.h		0
BatteryDrvrGetLevels	2.0	2.0 and later	Battery.h		1
BatteryDrvrGetStatus	1.0	1.0 and later	Battery.h	Acmdwrap.lib	0
BatteryDrvrGetStatus	2.10	2.10 and later	Battery.h		0
BatteryDrvrSupportsChangeNotification	1.0	1.0 and later	Battery.h	Acmdwrap.lib	1
BatteryGetLifeTimeInfo	2.10	2.10 and later	Pwinuser.h		1
BeginDeferWindowPos	2.10	2.10 and later	Winuser.h		1
BeginPaint	1.0	1.0 and later	Winuser.h	Coredll.lib, Winmgr.lib	1
bind	1.0	1.0 and later	Winsock.h		1
BIND_FLAGS	2.0	2.0 and later	Objidl.idl		1
BIND_OPTS	2.0	2.0 and later	Objidl.h		1
BIND_OPTS2	2.0	2.0 and later	Objidl.h		1
BINDPTR	2.0	2.0 and later	Oaidl.h		1
BitBlt	2.0	2.0 and later	Wingdi.h	Mgblt.lib	1
BITMAP	1.9	1.9 and later	Wingdi.h		1
BITMAPCOREHEADER	2.0	2.0 and later	Wingdi.h		1
BITMAPCOREINFO	2.0	2.0 and later	Wingdi.h		1
BITMAPFILEHEADER	2.0	2.0 and later	Wingdi.h		1
BITMAPINFO	1.0	1.0 and later	Wingdi.h		1
BITMAPINFOHEADER	1.0	1.0 and later	Wingdi.h		1
BLOB	3.0	3.0 or later	Wincrypt.h		1
BM_CLICK	1.0	1.0 and later	Winuser.h		1
BM_GETCHECK	1.0	1.0 and later	Winuser.h		1
BM_GETSTATE	1.0	1.0 and later	Winuser.h		1
BM_SETCHECK	1.0	1.0 and later	Winuser.h		1
BM_SETSTATE	1.0	1.0 and later	Winuser.h		1
BM_SETSTYLE	1.0	1.0 and later	Winuser.h		1
BN_CLICKED	1.0	1.0 and later	Winuser.h		1
BN_KILLFOCUS	1.0	1.0 and later	Winuser.h		1
BN_SETFOCUS	1.0	1.0 and later	Winuser.h		1
BringWindowToTop	1.0	1.0 and later	Winuser.h		1
BstrFromVector	2.0	2.0 and later	Oleauto.h		1
BY_HANDLE_FILE_INFORMATION	1.0	1.0 and later	Winbase.h		1
CacheErrorHandler	3.0	3.0 and later	Cache.s		0
CacheSync	2.10	2.10 and later	Pkfuncs.h		0
CALLCONV	2.0	2.0 and later	Oaidl.h		1
CallWindowProc	1.0	1.0 and later	Winuser.h		1
CANDIDATEFORM	2.1	2.1 and later (Japanese version 1.0 and later)	Wceemul.h		1
CANDIDATELIST	2.1	2.1 and later (Japanese version 1.0 and later)	Wceemul.h		1
CARD_CLIENT_HANDLE	1.0	1.0 and later			1
CARD_CONFIG_INFO	1.0	1.0 and later			1
CARD_DATA_PARMS	1.0	1.0 and later			1
CARD_EVENT	1.0	1.0 and later			1
CARD_EVENT_MASK_PARMS	1.0	1.0 and later			1
CARD_EVENT_PARMS	1.0	1.0 and later			1
CARD_ISR	1.0	1.0 and later			1
CARD_REGISTER_PARMS	1.0	1.0 and later			1
CARD_SOCKET_HANDLE	1.0	1.0 and later			1
CARD_STATUS	1.0	1.0 and later			1
CARD_TUPLE_PARMS	1.0	1.0 and later			1
CARD_WINDOW_HANDLE	1.0	1.0 and later			1
CARD_WINDOW_PARMS	1.0	1.0 and later			1
CardAccessConfigurationRegister	1.0	1.0 and later			1
CardDeregisterClient	1.0	1.0 and later			1
CardGetEventMask	1.0	1.0 and later			1
CardGetFirstTuple	1.0	1.0 and later			1
CardGetNextTuple	1.0	1.0 and later			1
CardGetParsedTuple	1.0	1.0 and later			1
CardGetStatus	1.0	1.0 and later	Cardserv.h		1
CardGetTupleData	1.0	1.0 and later			1
CardMapWindow	1.0	1.0 and later			1
CardModifyWindow	1.0	1.0 and later			1
CardRegisterClient	1.0	1.0 and later			1
CardReleaseConfiguration	1.0	1.0 and later			1
CardReleaseExclusive	1.0	1.0 and later			1
CardReleaseIRQ	1.0	1.0 and later			1
CardReleaseSocketMask	1.0	1.0 and later			1
CardReleaseWindow	1.0	1.0 and later			1
CardRequestConfiguration	1.0	1.0 and later			1
CardRequestExclusive	1.0	1.0 and later			1
CardRequestIRQ	1.0	1.0 and later			1
CardRequestSocketMask	1.0	1.0 and later			1
CardRequestWindow	1.0	1.0 and later			1
CardResetFunction	1.0	1.0 and later			1
CardSetEventMask	1.0	1.0 and later			1
CB_ADDSTRING	1.0	1.0 and later	Winuser.h		1
CB_DELETESTRING	1.0	1.0 and later	Winuser.h		1
CB_FINDSTRING	1.0	1.0 and later	Winuser.h		1
CB_FINDSTRINGEXACT	1.0	1.0 and later	Winuser.h		1
CB_GETCOUNT	1.0	1.0 and later	Winuser.h		1
CB_GETCURSEL	1.0	1.0 and later	Winuser.h		1
CB_GETDROPPEDCONTROLRECT	1.0	1.0 and later	Winuser.h		1
CB_GETDROPPEDSTATE	1.0	1.0 and later	Winuser.h		1
CB_GETDROPPEDWIDTH	1.0	1.0 and later	Winuser.h		1
CB_GETEDITSEL	1.0	1.0 and later	Winuser.h		1
CB_GETEXTENDEDUI	1.0	1.0 and later	Winuser.h		1
CB_GETHORIZONTALEXTENT	1.0	1.0 and later	Winuser.h		1
CB_GETITEMDATA	1.0	1.0 and later	Winuser.h		1
CB_GETITEMHEIGHT	1.0	1.0 and later	Winuser.h		1
CB_GETLBTEXT	1.0	1.0 and later	Winuser.h		1
CB_GETLBTEXTLEN	1.0	1.0 and later	Winuser.h		1
CB_GETLOCALE	2.0	2.0 and later	Winuser.h		1
CB_GETTOPINDEX	1.0	1.0 and later	Winuser.h		1
CB_INITSTORAGE	1.0	1.0 and later	Winuser.h		1
CB_INSERTSTRING	1.0	1.0 and later	Winuser.h		1
CB_LIMITTEXT	1.0	1.0 and later	Winuser.h		1
CB_RESETCONTENT	1.0	1.0 and later	Winuser.h		1
CB_SELECTSTRING	1.0	1.0 and later	Winuser.h		1
CB_SETCURSEL	1.0	1.0 and later	Winuser.h		1
CB_SETDROPPEDWIDTH	1.0	1.0 and later	Winuser.h		1
CB_SETEDITSEL	1.0	1.0 and later	Winuser.h		1
CB_SETEXTENDEDUI	1.0	1.0 and later	Winuser.h		1
CB_SETHORIZONTALEXTENT	1.0	1.0 and later	Winuser.h		1
CB_SETITEMDATA	1.0	1.0 and later	Winuser.h		1
CB_SETITEMHEIGHT	1.0	1.0 and later	Winuser.h		1
CB_SETLOCALE	2.0	2.0 and later	Winuser.h		1
CB_SETTOPINDEX	1.0	1.0 and later	Winuser.h		1
CB_SHOWDROPDOWN	1.0	1.0 and later	Winuser.h		1
CBN_CLOSEUP	1.0	1.0 and later	Winuser.h		1
CBN_DBLCLK	2.0	2.0 and later	Winuser.h		1
CBN_DROPDOWN	1.0	1.0 and later	Winuser.h		1
CBN_EDITCHANGE	1.0	1.0 and later	Winuser.h		1
CBN_EDITUPDATE	1.0	1.0 and later	Winuser.h		1
CBN_ERRSPACE	1.0	1.0 and later	Winuser.h		1
CBN_KILLFOCUS	1.0	1.0 and later	Winuser.h		1
CBN_SELCHANGE	1.0	1.0 and later	Winuser.h		1
CBN_SELENDCANCEL	1.0	1.0 and later	Winuser.h		1
CBN_SELENDOK	1.0	1.0 and later	Winuser.h		1
CBN_SETFOCUS	1.0	1.0 and later	Winuser.h		1
CCHookProc	2.0	2.0 and later	Commdlg.h		1
CDM_SETDEFEXT	1.0	1.0 and later	Winuser.h		1
CDN_TYPECHANGE	1.0	1.0 and later	Commdlg.h		1
CE_FIND_DATA	1.0	1.0 and later	Rapi.h		1
CE_USER_NOTIFICATION	1.01	1.01 and later	Notify.h		1
CEBLOB	1.01	1.01 and later	Winsock.h		1
CeChangeDatabaseLCID	2.10	2.10 and later	Pkfuncs.h		1
CeCheckPassword	2.0	2.0 and later	Rapi.h		1
CeClearReplChangeBitsEx	3.0	3.0 and later	Windbase.h	coredll.lib	1
CeClearUserNotification	1.01	1.01 and later	Notify.h	Notify.lib	1
CeCloseHandle	1.0	1.0 and later	Rapi.h		1
CeCopyFile	2.0	2.0 and later	Rapi.h		1
CeCreateDatabase	1.01	1.01 and later	Windbase.h	Fsdbase.lib	1
CeCreateDatabase	1.01	1.01 and later	Rapi.h		1
CeCreateDatabaseEx	2.10	2.10 and later	Windbase.h	Fsdbase.lib	1
CeCreateDatabaseEx	2.10	2.10 and later	Rapi.h		1
CeCreateDirectory	2.0	2.0 and later	Rapi.h		1
CeCreateFile	2.0	2.0 and later	Rapi.h		1
CeCreateProcess	2.0	2.0 and later	Rapi.h		1
CEDB_FIND_DATA	1.0	1.0 and later	Rapi.h		1
CEDBASEINFO	1.01	1.01 and later	Windbase.h		1
CeDeleteDatabase	1.01	1.01 and later	Windbase.h	Fsdbase.lib	1
CeDeleteDatabase	1.01	1.01 and later	Rapi.h		1
CeDeleteDatabaseEx	2.10	2.10 and later	Windbase.h	Fsdbase.lib	1
CeDeleteDatabaseEx	2.10	2.10 and later	Rapi.h		1
CeDeleteFile	2.0	2.0 and later	Rapi.h		1
CeDeleteRecord	1.01	1.01 and later	Windbase.h	Fsdbase.lib	1
CeDeleteRecord	2.0	2.0 and later	Rapi.h		1
CEDIRINFO	1.01	1.01 and later	Winbase.h		1
CeEnumDBVolumes	2.10	2.10 and later	Windbase.h	Fsdbase.lib	1
CeEnumDBVolumes	2.12	2.12 and later	Rapi.h		1
CEFILEINFO	1.01	1.01 and later	Winbase.h		1
CeFindAllDatabases	2.0	2.0 and later	Rapi.h		1
CeFindAllFiles	2.0	2.0 and later	Rapi.h		1
CeFindClose	2.0	2.0 and later	Rapi.h		1
CeFindFirstDatabase	1.01	1.01 and later	Windbase.h	Fsdbase.lib	1
CeFindFirstDatabase	1.01	1.01 and later	Rapi.h		1
CeFindFirstDatabaseEx	2.10	2.10 and later	Windbase.h	Fsdbase.lib	1
CeFindFirstDatabaseEx	2.10	2.10 and later	Rapi.h		1
CeFindFirstFile	2.0	2.0 and later	Rapi.h		1
CeFindNextDatabase	1.01	1.01 and later	Windbase.h	Fsdbase.lib	1
CeFindNextDatabase	1.01	1.01 and later	Rapi.h		1
CeFindNextDatabaseEx	2.10	2.10 and later	Windbase.h	Fsdbase.lib	1
CeFindNextDatabaseEx	2.10	2.10 and later	Rapi.h		1
CeFindNextFile	2.0	2.0 and later	Rapi.h		1
CeFlushDBVol	2.10	2.10 and later	Windbase.h	Fsdbase.lib	1
CeFreeNotification	2.10	2.10 and later	Windbase.h	Fsdbase.lib	1
CeGetCallerTrust	3.0	3.0 and later	Winbase.h	Nk.lib	1
CeGetClassName	2.0	2.0 and later	Rapi.h		1
CeGetCurrentTrust	3.0	3.0 and later	Windbase.h	Nk.lib	1
CeGetDesktopDeviceCaps	2.0	2.0 and later	Rapi.h		1
CeGetFileAttributes	2.0	2.0 and later	Rapi.h		1
CeGetFileSize	2.0	2.0 and later	Rapi.h		1
CeGetFileTime	2.0	2.0 and later	Rapi.h		1
CeGetLastError	2.0	2.0 and later	Rapi.h		1
CeGetRandomSeed	3.0	3.0 and later	Winbase.h	Nk.lib	1
CeGetReplChangeBitsEx	3.0	3.0 and later	Windbase.h	coredll.lib	1
CeGetReplChangeMask	3.0	3.0 and later	Windbase.h	coredll.lib	1
CeGetReplOtherBitsEx	3.0	3.0 and later	Windbase.h	coredll.lib	1
CeGetSpecialFolderPath	2.0	2.0 and later	Rapi.h		1
CeGetStoreInformation	2.0	2.0 and later	Rapi.h		1
CeGetSystemInfo	2.0	2.0 and later	Rapi.h		1
CeGetSystemPowerStatusEx	2.0	2.0 and later	Rapi.h		1
CeGetTempPath	2.0	2.0 and later	Rapi.h		1
CeGetThreadPriority	3.0	3.0 and later	Winbase.h	Nk.lib	1
CeGetThreadQuantum	3.0	3.0 and later	Winbase.h	Nk.lib	1
CeGetUserNotification	2.12	2.12 and later	Notify.h	Notify.lib	1
CeGetUserNotificationHandles	2.12	2.12 and later	Notify.h	Notify.lib	1
CeGetUserNotificationPreferences	1.01	1.01 and later	Notify.h	Notify.lib	1
CeGetVersionEx	2.0	2.0 and later	Rapi.h		1
CeGetWindow	2.0	2.0 and later	Rapi.h		1
CeGetWindowLong	2.0	2.0 and later	Rapi.h		1
CeGetWindowText	2.0	2.0 and later	Rapi.h		1
CeGlobalMemoryStatus	2.0	2.0 and later	Rapi.h		1
CeHandleAppNotifications	1.01	1.01 and later	Notify.h	Notify.lib	1
CEL_CRITSEC_ENTER	3.0	3.0 and later	Celog.h		1
CEL_CRITSEC_LEAVE	3.0	3.0 and later	Celog.h		1
CEL_DATA_LOSS	3.0	3.0 and later	Celog.h		1
CEL_EVENT_CLOSE	3.0	3.0 and later	Celog.h		1
CEL_EVENT_CREATE	3.0	3.0 and later	Celog.h		1
CEL_EVENT_DELETE	3.0	3.0 and later	Celog.h		1
CEL_EVENT_PULSE	3.0	3.0 and later	Celog.h		1
CEL_EVENT_RESET	3.0	3.0 and later	Celog.h		1
CEL_EVENT_SET	3.0	3.0 and later	Celog.h		1
CEL_HEADER	3.0	3.0 and later	Celog.h		1
CEL_HEAP_ALLOC	3.0	3.0 and later	Celog.h		1
CEL_HEAP_CREATE	3.0	3.0 and later	Celog.h		1
CEL_HEAP_DESTROY	3.0	3.0 and later	Celog.h		1
CEL_HEAP_FREE	3.0	3.0 and later	Celog.h		1
CEL_HEAP_REALLOC	3.0	3.0 and later	Celog.h		1
CEL_INT_DATA	3.0	3.0 and later	Celog.h		1
CEL_INTERRUPTS	3.0	3.0 and later	Celog.h		1
CEL_LOG_MARKER	3.0	3.0 and later	Celog.h		1
CEL_MODULE_FREE	3.0	3.0 and later	Celog.h		1
CEL_MODULE_LOAD	3.0	3.0 and later	Celog.h		1
CEL_MUTEX_CLOSE	3.0	3.0 and later	Celog.h		1
CEL_MUTEX_CREATE	3.0	3.0 and later	Celog.h		1
CEL_MUTEX_DELETE	3.0	3.0 and later	Celog.h		1
CEL_MUTEX_RELEASE	3.0	3.0 and later	Celog.h		1
CEL_PROCESS_CLOSE	3.0	3.0 and later	Celog.h		1
CEL_PROCESS_CREATE	3.0	3.0 and later	Celog.h		1
CEL_PROCESS_DELETE	3.0	3.0 and later	Celog.h		1
CEL_PROCESS_TERMINATE	3.0	3.0 and later	Celog.h		1
CEL_SEM_CLOSE	3.0	3.0 and later	Celog.h		1
CEL_SEM_CREATE	3.0	3.0 and later	Celog.h		1
CEL_SEM_DELETE	3.0	3.0 and later	Celog.h		1
CEL_SEM_RELEASE	3.0	3.0 and later	Celog.h		1
CEL_SLEEP	3.0	3.0 and later	Celog.h		1
CEL_SYSTEM_INVERT	3.0	3.0 and later	Celog.h		1
CEL_SYSTEM_PAGE	3.0	3.0 and later	Celog.h		1
CEL_SYSTEM_TLB	3.0	3.0 and later	Celog.h		1
CEL_THREAD_CLOSE	3.0	3.0 and later	Celog.h		1
CEL_THREAD_CREATE	3.0	3.0 and later	Celog.h		1
CEL_THREAD_DELETE	3.0	3.0 and later	Celog.h		1
CEL_THREAD_MIGRATE	3.0	3.0 and later	Celog.h		1
CEL_THREAD_PRIORITY	3.0	3.0 and later	Celog.h		1
CEL_THREAD_QUANTUM	3.0	3.0 and later	Celog.h		1
CEL_THREAD_RESUME	3.0	3.0 and later	Celog.h		1
CEL_THREAD_SUSPEND	3.0	3.0 and later	Celog.h		1
CEL_THREAD_SWITCH	3.0	3.0 and later	Celog.h		1
CEL_THREAD_TERMINATE	3.0	3.0 and later	Celog.h		1
CEL_VIRTUAL_ALLOC	3.0	3.0 and later	Celog.h		1
CEL_VIRTUAL_COPY	3.0	3.0 and later	Celog.h		1
CEL_VIRTUAL_FREE	3.0	3.0 and later	Celog.h		1
CEL_WAIT_MULTI	3.0	3.0 and later	Celog.h		1
CeLogData	3.0	3.0 and later	Celog.h		1
CeLogInit	3.0	3.0 and later	Celog.h		1
CeLogInterrupt	3.0	3.0 and later	Celog.h		1
CeLogReSync	3.0	3.0 and later	Celog.h		1
CeLogSetZones	3.0	3.0 and later	Celog.h		1
CeLogThreadMigrate	3.0	3.0 and later	Celog.h		1
CeMountDBVol	2.10	2.10 and later	Windbase.h	Fsdbase.lib	1
CeMountDBVol	2.12	2.12 and later	Rapi.h		1
CeMoveFile	2.0	2.0 and later	Rapi.h		1
CeNotifyPrivate_ClearUserAlarm	2.10	2.10 and later	Notifext.hxx		0
CeNotifyPrivate_DeleteNotification	2.10	2.10 and later	Notifext.hxx		0
CeNotifyPrivate_FilterType	2.10	2.10 and later	Notifext.hxx		0
CeNotifyPrivate_Lock	2.10	2.10 and later	Notifext.hxx		0
CeNotifyPrivate_Reschedule	2.10	2.10 and later	Notifext.hxx		0
CeNotifyPrivate_SetUserAlarm	2.10	2.10 and later	Notifext.hxx		0
CeNotifyPrivate_TranslateOID	2.10	2.10 and later	Notifext.hxx		0
CeNotifyPrivate_Unlock	2.10	2.10 and later	Notifext.hxx		0
CeNotifyPublic_DisposeOfPacket	2.10	2.10 and later	Notifext.hxx		0
CeNotifyPublic_FilterEvent	2.10	2.10 and later	Notifext.hxx		0
CeNotifyPublic_FilterUserNotification	2.10	2.10 and later	Notifext.hxx		0
CeNotifyPublic_Initialize	2.10	2.10 and later	Notifext.hxx		0
CeNotifyPublic_NewPacket	2.10	2.10 and later	Notifext.hxx		0
CeNotifyPublic_PresentSettingsBox	2.10	2.10 and later	Notifext.hxx		0
CeNotifyPublic_UIWndProc	2.10	2.10 and later	Notifext.hxx		0
CeNotifyPublic_UserAlarmSignalled	2.10	2.10 and later	Notifext.hxx		0
CeOidGetInfo	1.01	1.01 and later	Windbase.h		1
CeOidGetInfo	1.01	1.01 and later	Rapi.h		1
CeOidGetInfoEx	2.10	2.10 and later	Windbase.h		1
CeOidGetInfoEx	2.10	2.10 and later	Rapi.h		1
CEOIDINFO	1.01	1.01 and later	Windbase.h		1
CeOpenDatabase	1.01	1.01 and later	Windbase.h	Fsdbase.lib	1
CeOpenDatabase	1.01	1.01 and later	Rapi.h		1
CeOpenDatabaseEx	2.10	2.10 and later	Windbase.h	Fsdbase.lib	1
CeOpenDatabaseEx	2.10	2.10 and later	Rapi.h		1
CEOSVERSIONINFO	2.0	2.0 and later	Rapi.h		1
CePimCommand	2.0	2.0 and later	pimstore.h		1
CEProcessorType	3.0	3.0 and later			0
CEPROPVAL	1.01	1.01 and later	Winbase.h		1
CeRapiFreeBuffer	1.0	1.0 and later	Rapi.h		1
CeRapiGetError	2.0	2.0 and later	Rapi.h		1
CeRapiInit	2.0	2.0 and later	Rapi.h		1
CeRapiInitEx	2.0	2.0 and later	Rapi.h		1
CeRapiInvoke	2.0	2.0 and later	Rapi.h		1
CeRapiUninit	2.0	2.0 and later	Rapi.h		1
CeReadFile	2.0	2.0 and later	Rapi.h		1
CeReadRecordProps	1.01	1.01 and later	Rapi.h		1
CeReadRecordProps	2.10	2.10 and later	Windbase.h	Fsdbase.lib	1
CeReadRecordPropsEx	2.10	2.10 and later	Windbase.h	Fsdbase.lib	1
CeReadRecordPropsEx	2.10	2.10 and later	Rapi.h		1
CERECORDINFO	1.01	1.01 and later	Winbase.h		1
CeRegCloseKey	2.0	2.0 and later	Rapi.h		1
CeRegCreateKeyEx	2.0	2.0 and later	Rapi.h		1
CeRegDeleteKey	2.0	2.0 and later	Rapi.h		1
CeRegDeleteValue	2.0	2.0 and later	Rapi.h		1
CeRegEnumKeyEx	2.0	2.0 and later	Rapi.h		1
CeRegEnumValue	2.0	2.0 and later	Rapi.h		1
CeRegisterReplNotification	3.0	3.0 and later	Windbase.h	coredll.lib	1
CeRegOpenKeyEx	2.0	2.0 and later	Rapi.h		1
CeRegQueryInfoKey	2.0	2.0 and later	Rapi.h		1
CeRegQueryValueEx	2.0	2.0 and later	Rapi.h		1
CeRegSetValueEx	2.0	2.0 and later	Rapi.h		1
CeRemoveDirectory	2.0	2.0 and later	Rapi.h		1
CeResyncFilesys	3.0	3.0 and later	Winbase.h	Device.lib	1
CERT_ACCESS_DESCRIPTION	3.0	3.0 or later	Wincrypt.h		1
CERT_ALT_NAME_ENTRY	3.0	3.0 or later	Wincrypt.h		1
CERT_ALT_NAME_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_AUTHORITY_INFO_ACCESS	3.0	3.0 or later	Wincrypt.h		1
CERT_AUTHORITY_KEY_ID2_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_AUTHORITY_KEY_ID_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_BASIC_CONSTRAINTS2_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_BASIC_CONSTRAINTS_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_CHAIN_CONTEXT	3.0	3.0 or later	Wincrypt.h		1
CERT_CHAIN_ELEMENT	3.0	3.0 or later	Wincrypt.h		1
CERT_CHAIN_ENGINE_CONFIG	3.0	3.0 or later	Wincrypt.h		1
CERT_CHAIN_PARA	3.0	3.0 or later	Wincrypt.h		1
CERT_CONTEXT	3.0	3.0 or later	Wincrypt.h		1
CERT_EXTENSION	3.0	3.0 or later	Wincrypt.h		1
CERT_ID	3.0	3.0 or later	Wincrypt.h		1
CERT_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_ISSUER_SERIAL_NUMBER	3.0	3.0 or later	Wincrypt.h		1
CERT_KEY_ATTRIBUTES_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_KEY_CONTEXT	3.0	3.0 or later	Wincrypt.h		1
CERT_KEY_USAGE_RESTRICTION_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_KEYGEN_REQUEST_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_NAME_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_POLICIES_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_POLICY_ID	3.0	3.0 or later	Wincrypt.h		1
CERT_POLICY_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_POLICY_QUALIFIER_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_PRIVATE_KEY_VALIDITY	3.0	3.0 or later	Wincrypt.h		1
CERT_PUBLIC_KEY_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_RDN	3.0	3.0 or later	Wincrypt.h		1
CERT_RDN_ATTR	3.0	3.0 or later	Wincrypt.h		1
CERT_REQUEST_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_SIGNED_CONTENT_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_SIMPLE_CHAIN	3.0	3.0 or later	Wincrypt.h		1
CERT_SYSTEM_STORE_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_SYSTEM_STORE_RELOCATE_PARA	3.0	3.0 or later	Wincrypt.h		1
CERT_TRUST_LIST_INFO	3.0	3.0 or later	Wincrypt.h		1
CERT_TRUST_STATUS	3.0	3.0 or later	Wincrypt.h		1
CERT_USAGE_MATCH	3.0	3.0 or later	Wincrypt.h		1
CertAddCertificateContextToStore	3.0	3.0 or later	Wincrypt.h	Crypt32.lib	1
CertAddCertificateLinkToStore	3.0	3.0 or later	Wincrypt.h	Crypt32.lib	1
CertAddEncodedCertificateToStore	3.0	3.0 or later	Wincrypt.h	Crypt32.lib	1
CertAddEnhancedKeyUsageIdentifier	3.0	3.0 or later	Wincrypt.h	Crypt32.lib	1
