name	hdr	cited-pid	twin-path	twin-pid	status	diffs
WDP_PROVIDER_SPECIFIC_PORT_ADDRESSING	include/Sms.h	ee497655	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee497655(v=winembedded.60).html		no-print-in-twin	
WSAESETSERVICEOP	include/Winsock2.h	ms898772			no-twin-page	
XRAlignmentX	include/XamlRuntime.h	ee504017	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee504017(v=winembedded.60).html		no-print-in-twin	
XRAlignmentY	include/XamlRuntime.h	ee502120	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee502120(v=winembedded.60).html		no-print-in-twin	
XRBrushMappingMode	include/XamlRuntime.h	ee502139	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee502139(v=winembedded.60).html		no-print-in-twin	
XRClickMode	include/XamlRuntime.h	ee503686	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503686(v=winembedded.60).html		no-print-in-twin	
XRClockState	include/XamlRuntime.h	ee501562	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501562(v=winembedded.60).html		no-print-in-twin	
XRColorInterpolationMode	include/XamlRuntime.h	ee501619	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501619(v=winembedded.60).html		no-print-in-twin	
XRCursor	include/XamlRuntime.h	ee504201	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee504201(v=winembedded.60).html		no-print-in-twin	
XRFillBehavior	include/XamlRuntime.h	ee503994	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503994(v=winembedded.60).html		no-print-in-twin	
XRFillRule	include/XamlRuntime.h	ee503028	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503028(v=winembedded.60).html		no-print-in-twin	
XRFontStretch	include/XamlRuntime.h	ee502998	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee502998(v=winembedded.60).html		no-print-in-twin	
XRFontStyle	include/XamlRuntime.h	ee504467	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee504467(v=winembedded.60).html		no-print-in-twin	
XRFontWeight	include/XamlRuntime.h	ee501509	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501509(v=winembedded.60).html		no-print-in-twin	
XRGradientSpreadMethod	include/XamlRuntime.h	ee501840	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501840(v=winembedded.60).html		no-print-in-twin	
XRGridUnitType	include/XamlRuntime.h	ee501637	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501637(v=winembedded.60).html		no-print-in-twin	
XRHorizontalAlignment	include/XamlRuntime.h	ee503344	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503344(v=winembedded.60).html		no-print-in-twin	
XRKeyboardNavigationMode	include/XamlRuntime.h	ee503321	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503321(v=winembedded.60).html		no-print-in-twin	
XRLineStackingStrategy	include/XamlRuntime.h	ee501486	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501486(v=winembedded.60).html		no-print-in-twin	
XROrientation	include/XamlRuntime.h	ee503573	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503573(v=winembedded.60).html		no-print-in-twin	
XRPenLineCap	include/XamlRuntime.h	ee502118	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee502118(v=winembedded.60).html		no-print-in-twin	
XRPenLineJoin	include/XamlRuntime.h	ee501538	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501538(v=winembedded.60).html		no-print-in-twin	
XRScrollBarVisibility	include/XamlRuntime.h	ee504179	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee504179(v=winembedded.60).html		no-print-in-twin	
