# header	name	page	status	detail
include/Mlang.h	MLDETECTCP	ms918825	match	
include/Mlang.h	SCRIPTCONTF	ms918854	match	
include/Mlang.h	SCRIPTFONTCONTF	ms918856	match	
include/Mshtmhst.h	NVFOCUS_DIRECTION	ms918828	match	
include/Msxml2.h	DOMNodeType		no-pageid	
include/Obex.h	OBEX_EVENT	ms895790	match	
include/Objbase.h	VARENUM	ms891853	no-print-on-page	
include/Objbase.h	CLSCTX	ms863882	match	
include/Objbase.h	DVASPECT	ms864437	match	
include/Objbase.h	TYMED	ms896492	match	
include/Objbase.h	STGC	ms896217	match	
include/Objbase.h	MKSYS	ms892349	match	
include/Objbase.h	MKRREDUCE	ms892348	match	
include/Objbase.h	BIND_FLAGS	ms863834	match	
include/Objbase.h	SYSKIND	ms896474	match	
include/Objbase.h	TYPEKIND	ms896496	match	
include/Objbase.h	VARKIND	aa519097	match	
include/Objbase.h	CALLCONV	ms863871	match	
include/Objbase.h	FUNCKIND	aa515010	match	
include/Objbase.h	INVOKEKIND	ms882878	match	
include/Objbase.h	FUNCFLAGS	aa515008	match	
include/Objbase.h	ADVF	aa513925	match	
include/Objbase.h	TYPEFLAGS	ms896495	match	
include/Objbase.h	DATADIR	ms864408	match	
include/Objbase.h	DESCKIND	ms864416	match	
include/Objbase.h	DVASPECT2	ms864438	match	
include/Objbase.h	DVASPECTINFOFLAG	ms864450	match	
include/Objbase.h	DVEXTENTMODE	ms864452	match	
include/Objbase.h	HITRESULT	aa515087	match	
include/Objbase.h	VIEWSTATUS	ms897186	match	
include/Oleauto.h	OLEGETMONIKER	ms892592	match	
include/Oleauto.h	OLELINKBIND	ms892594	match	
include/Oleauto.h	OLEUPDATE	ms892601	match	
include/Oleauto.h	OLEVERBATTRIB	ms892603	match	
include/Oleauto.h	OLEWHICHMK	ms892604	match	
include/Pimstore.h	PIMTYPE	ms863874	match	
include/Pimstore.h	OlCurrentCity	ee483770	no-print-on-page	
include/Rapitypes.h	RAPI_CONNECTIONTYPE	ms879804	match	
include/Rapitypes.h	RAPI_DEVICESTATUS	ms879806	match	
include/Rapitypes.h	RAPISTREAMFLAG	ms879802	match	
include/Ras.h	RASCONNSTATE	ms896360	match	
include/Ras.h	RASPROJECTION		no-pageid	
include/Ras.h	RasCntlEnum	ms924957	match	
include/Raseapif.h	RAS_AUTH_ATTRIBUTE_TYPE		no-pageid	
include/Raseapif.h	PPP_EAP_ACTION		no-pageid	
include/Regext.h	REG_COMPARISONTYPE	ee488568	match	
include/Rules.h	FW_RULE_MASKS		no-pageid	
include/Sapi.h	SPAUDIOOPTIONS		no-pageid	
include/Sapi.h	SPBOOKMARKOPTIONS		no-pageid	
include/Sapi.h	SPCFGNOTIFY		no-pageid	
include/Sapi.h	SPCFGRULEATTRIBUTES		no-pageid	
include/Sapi.h	SPCONTEXTSTATE		no-pageid	
include/Sapi.h	SPDATAKEYLOCATION		no-pageid	
include/Sapi.h	SPEAKFLAGS		no-pageid	
include/Sapi.h	SPENDSRSTREAMFLAGS		no-pageid	
include/Sapi.h	SPINTERFERENCE		no-pageid	
include/Sapi.h	SPEVENTENUM		no-pageid	
include/Sapi.h	SPEVENTLPARAMTYPE		no-pageid	
