id	title	min_ce	versions	header	lib	os
wcesdkrLINE_CLOSE	LINE_CLOSE	1.0	1.0 and later	Tapi.h		Windows CE OS
wcesdkrLINE_CREATE	LINE_CREATE	1.0	1.0 and later	Tapi.h		Windows CE OS
wcesdkrLINE_DEVSPECIFIC	LINE_DEVSPECIFIC	1.0	1.0 and later	Tapi.h		Windows CE OS
wcesdkrLINE_LINEDEVSTATE	LINE_LINEDEVSTATE	1.0	1.0 and later	Tapi.h		Windows CE OS
wcesdkrLINE_REMOVE	LINE_REMOVE	1.0	1.0 and later	Tapi.h		Windows CE OS
wcesdkrLINE_REPLY	LINE_REPLY	1.0	1.0 and later	Tapi.h		Windows CE OS
wcesdkrLINGER	LINGER	1.0	1.0 and later	Winsock.h		Windows CE OS
wcesdkrLOAD_DLL_DEBUG_INFO_str	LOAD_DLL_DEBUG_INFO	2.0	2.0 and later	Winbase.h		Windows CE OS
wcesdkrLoadCursor	LoadCursor	1.0	1.0 and later	Winuser.h	Cursor.lib, Mcursor.lib	Windows CE OS
wcesdkrLoadIcon	LoadIcon	1.0	1.0 and later	Winuser.h	Icon.lib	Windows CE OS
wcesdkrLoadLibrary	LoadLibrary	1.0	1.0 and later	Winbase.h	Nk.lib	Windows CE OS
wcesdkrLocalAlloc	LocalAlloc	1.0	1.0 and later	Winbase.h	Lmem.lib	Windows CE OS
wcesdkrLocalFileTimeToFileTime	LocalFileTimeToFileTime	1.0	1.0 and later	Winbase.h		Windows CE OS
wcesdkrLocalFree	LocalFree	1.0	1.0 and later	Winbase.h	Lmem.lib	Windows CE OS
wcesdkrLocalReAlloc	LocalReAlloc	1.0	1.0 and later	Winbase.h	Lmem.lib	Windows CE OS
wcesdkrLocalSize	LocalSize	1.0	1.0 and later	Winbase.h	Lmem.lib	Windows CE OS
wcesdkrMEMORYSTATUS_str	MEMORYSTATUS	1.0	1.0 and later	Winbase.h		Windows CE OS
wcesdkrMEMORY_BASIC_INFORMATION_str	MEMORY_BASIC_INFORMATION	1.0	1.0 and later	Winnt.h		Windows CE OS
wcesdkrMIBICMPINFO	MIBICMPINFO	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIBICMPSTATS	MIBICMPSTATS	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_BEST_IF	MIB_BEST_IF	3.0	3.0 and later	Routprot.h		Windows CE OS
wcesdkrMIB_ICMP	MIB_ICMP	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_IFROW	MIB_IFROW	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_IFTABLE	MIB_IFTABLE	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_IPADDRROW	MIB_IPADDRROW	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_IPADDRTABLE	MIB_IPADDRTABLE	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_IPFORWARDROW	MIB_IPFORWARDROW	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_IPFORWARDTABLE	MIB_IPFORWARDTABLE	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_IPNETROW	MIB_IPNETROW	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_IPNETTABLE	MIB_IPNETTABLE	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_IPSTATS	MIB_IPSTATS	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_PROXYARP	MIB_PROXYARP	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_TCPROW	MIB_TCPROW	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_TCPSTATS	MIB_TCPSTATS	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_TCPTABLE	MIB_TCPTABLE	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_UDPROW	MIB_UDPROW	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_UDPSTATS	MIB_UDPSTATS	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIB_UDPTABLE	MIB_UDPTABLE	3.0	3.0 and later	Iprtrmib.h		Windows CE OS
wcesdkrMIXERCAPS	MIXERCAPS	2.12	2.12 or later. Version 2.12 requires DXPAK 1.0 or later.	mmsystem.h		Windows CE OS
wcesdkrMMTIME_str	MMTIME	2.0	2.0 and later	Mmsystem.h		Windows CE OS
wcesdkrMM_MIXM_CONTROL_CHANGE	MM_MIXM_CONTROL_CHANGE	2.12	2.12 or later. Version 2.12 requires DXPAK 1.0 or later.	mmsystem.h		Windows CE OS
wcesdkrMODULEENTRY32_str	MODULEENTRY32	1.0	1.0 and later	Tlhelp32.h		Windows CE OS
wcesdkrMONITORINFO	MONITORINFO	4.0	4.0 and later	Winuser.h		Windows CE OS
wcesdkrMONITORINFOEX	MONITORINFOEX	4.0	4.0 and later	Winuser.h		Windows CE OS
wcesdkrModule32First	Module32First	2.0	2.0 and later	Tlhelp32.h		Windows CE OS
wcesdkrModule32Next	Module32Next	2.0	2.0 and later	Tlhelp32.h		Windows CE OS
wcesdkrMonitorEnumProc	MonitorEnumProc	4.0	4.0 and later	Winuser.h		Windows CE OS
wcesdkrMonitorFromPoint	MonitorFromPoint	4.0	4.0 and later	Winuser.h	User32.lib	Windows CE OS
wcesdkrMonitorFromRect	MonitorFromRect	4.0	4.0 and later	Winuser.h	User32.lib	Windows CE OS
