# action	name	note
keep	CreateDIBSection	doc-derived (doc)
keep	CreateDirectoryW	doc-derived (doc-generic)
keep	CreateEnrollmentConfigDialog	doc-derived (doc)
keep	CreateEventW	doc-derived (doc-generic)
keep	CreateFiber	doc-derived (doc)
keep	CreateFileForMapping	doc-derived (doc)
keep	CreateFileForMappingW	doc-derived (doc-generic)
keep	CreateFileMappingW	doc-derived (doc-generic)
keep	CreateFileW	doc-derived (doc-generic)
keep	CreateFontIndirectW	doc-derived (doc-generic)
keep	CreateMsgQueue	doc-derived (doc)
keep	CreateMutexW	doc-derived (doc-generic)
keep	CreatePalette	doc-derived (doc)
keep	CreatePatternBrush	doc-derived (doc)
keep	CreatePen	doc-derived (doc)
keep	CreatePenIndirect	doc-derived (doc)
keep	CreateProcessW	doc-derived (doc-generic)
keep	CreateRectRgn	doc-derived (doc)
keep	CreateRectRgnIndirect	doc-derived (doc)
keep	CreateSolidBrush	doc-derived (doc)
keep	CreateStaticMapping	doc-derived (doc)
keep	CreateThread	doc-derived (doc)
keep	CreateWatchDogTimer	doc-derived (doc)
keep	CredDelete	doc-derived (doc)
keep	CredFree	doc-derived (doc)
keep	CredRead	doc-derived (doc)
keep	CredUpdate	doc-derived (doc)
keep	CredWrite	doc-derived (doc)
keep	CryptAcquireContextW	doc-derived (doc-generic)
keep	CryptContextAddRef	doc-derived (doc)
keep	CryptCreateHash	doc-derived (doc)
keep	CryptDecrypt	doc-derived (doc)
keep	CryptDeriveKey	doc-derived (doc)
keep	CryptDestroyHash	doc-derived (doc)
keep	CryptDestroyKey	doc-derived (doc)
keep	CryptDuplicateHash	doc-derived (doc)
keep	CryptDuplicateKey	doc-derived (doc)
keep	CryptEncrypt	doc-derived (doc)
keep	CryptEnumProviderTypesW	doc-derived (doc-generic)
keep	CryptEnumProvidersW	doc-derived (doc-generic)
keep	CryptExportKey	doc-derived (doc)
keep	CryptFindLocalizedName	doc-derived (doc)
keep	CryptGenKey	doc-derived (doc)
keep	CryptGenRandom	doc-derived (doc)
keep	CryptGetDefaultProviderW	doc-derived (doc-generic)
keep	CryptGetHashParam	doc-derived (doc)
keep	CryptGetKeyParam	doc-derived (doc)
keep	CryptGetProvParam	doc-derived (doc)
keep	CryptGetUserKey	doc-derived (doc)
keep	CryptHashData	doc-derived (doc)
keep	CryptHashSessionKey	doc-derived (doc)
keep	CryptImportKey	doc-derived (doc)
keep	CryptMsgCalculateEncodedLength	doc-derived (doc)
keep	CryptMsgClose	doc-derived (doc)
keep	CryptMsgControl	doc-derived (doc)
keep	CryptMsgDuplicate	doc-derived (doc)
keep	CryptMsgGetParam	doc-derived (doc)
keep	CryptMsgOpenToDecode	doc-derived (doc)
keep	CryptMsgOpenToEncode	doc-derived (doc)
keep	CryptMsgUpdate	doc-derived (doc)
keep	CryptProtectData	doc-derived (doc)
keep	CryptReleaseContext	doc-derived (doc)
keep	CryptSetHashParam	doc-derived (doc)
keep	CryptSetKeyParam	doc-derived (doc)
keep	CryptSetProvParam	doc-derived (doc)
keep	CryptSetProviderExW	doc-derived (doc-generic)
keep	CryptSetProviderW	doc-derived (doc-generic)
keep	CryptSignHashW	doc-derived (doc-generic)
keep	CryptUnprotectData	doc-derived (doc)
keep	CryptVerifySignatureW	doc-derived (doc-generic)
keep	DDKReg_GetIsrInfo	doc-derived (doc)
keep	DDKReg_GetPciInfo	doc-derived (doc)
keep	DDKReg_GetWindowInfo	doc-derived (doc)
keep	DeactivateDevice	doc-derived (doc)
keep	DebugActiveProcess	doc-derived (doc)
keep	DebugActiveProcessStop	doc-derived (doc)
keep	DebugBreak	doc-derived (doc)
keep	DeinitLAP	doc-derived (doc)
keep	DeleteAndRenameFile	doc-derived (doc)
keep	DeleteDC	doc-derived (doc)
keep	DeleteFiber	doc-derived (doc)
keep	DeleteFileW	doc-derived (doc-generic)
keep	DeleteObject	doc-derived (doc)
keep	DeregisterDevice	doc-derived (doc)
keep	DeregisterService	doc-derived (doc)
keep	DeviceIoControl	doc-derived (doc)
keep	DevicePowerNotify	doc-derived (doc)
keep	DisableThreadLibraryCalls	doc-derived (doc)
keep	DispatchMessageW	doc-derived (doc-generic)
keep	DrawEdge	doc-derived (doc)
keep	DrawFocusRect	doc-derived (doc)
keep	DrawTextW	doc-derived (doc-generic)
keep	DuplicateHandle	doc-derived (doc)
keep	Ellipse	doc-derived (doc)
keep	EnableEUDC	doc-derived (doc)
keep	EnumDevices	doc-derived (doc)
keep	EnumDisplayDevices	doc-derived (doc)
keep	EnumDisplayMonitors	doc-derived (doc)
keep	EnumDisplaySettings	doc-derived (doc)
keep	EnumFontFamiliesExW	doc-derived (doc-generic)
keep	EnumFontFamiliesW	doc-derived (doc-generic)
keep	EnumFontsW	doc-derived (doc-generic)
keep	EnumPnpIds	doc-derived (doc)
keep	EnumPropsEx	doc-derived (doc)
keep	EnumPropsExW	doc-derived (doc-generic)
keep	EnumServices	doc-derived (doc)
keep	EqualRgn	doc-derived (doc)
keep	ExcludeClipRect	doc-derived (doc)
keep	ExitProcess	doc-derived (doc)
keep	ExitThread	doc-derived (doc)
keep	ExtCreateRegion	doc-derived (doc)
keep	ExtEscape	doc-derived (doc)
keep	ExtTextOutW	doc-derived (doc-generic)
keep	FileSystemPowerFunction	doc-derived (doc)
keep	FileTimeToLocalFileTime	doc-derived (doc)
keep	FileTimeToSystemTime	doc-derived (doc)
keep	FillRect	doc-derived (doc)
keep	FillRgn	doc-derived (doc)
keep	FindClose	doc-derived (doc)
keep	FindCloseChangeNotification	doc-derived (doc)
keep	FindFirstChangeNotificationW	doc-derived (doc-generic)
keep	FindFirstFileExW	doc-derived (doc-generic)
keep	FindFirstFileW	doc-derived (doc-generic)
keep	FindNextChangeNotification	doc-derived (doc)
keep	FindNextFileW	doc-derived (doc-generic)
keep	FindResource	doc-derived (doc)
keep	FindResourceW	doc-derived (doc-generic)
keep	FlushFileBuffers	doc-derived (doc)
keep	FlushInstructionCache	doc-derived (doc)
keep	FlushViewOfFile	doc-derived (doc)
keep	ForcePageout	doc-derived (doc)
keep	ForwardDeviceIoControl	doc-derived (doc)
keep	FreeIntChainHandler	doc-derived (doc)
keep	FreeLibrary	doc-derived (doc)
keep	FreePhysMem	doc-derived (doc)
keep	GetBkColor	doc-derived (doc)
keep	GetBkMode	doc-derived (doc)
keep	GetCallerProcess	doc-derived (doc)
keep	GetCallerVMProcessId	doc-derived (doc)
keep	GetCapture	doc-derived (doc)
keep	GetCharABCWidths	doc-derived (doc)
keep	GetCharABCWidthsI	doc-derived (doc)
keep	GetCharABCWidthsW	doc-derived (doc-generic)
keep	GetCharWidth32	doc-derived (doc)
keep	GetCharWidth32W	doc-derived (doc-generic)
keep	GetClipBox	doc-derived (doc)
keep	GetClipRgn	doc-derived (doc)
keep	GetCommandLineW	doc-derived (doc-generic)
keep	GetCurrentFT	doc-derived (doc)
keep	GetCurrentFiber	doc-derived (doc)
keep	GetCurrentObject	doc-derived (doc)
keep	GetCurrentPermissions	doc-derived (doc)
keep	GetCurrentPositionEx	doc-derived (doc)
keep	GetCurrentProcess	doc-derived (doc)
keep	GetCurrentProcessId	doc-derived (doc)
keep	GetCurrentThread	doc-derived (doc)
keep	GetCurrentThreadId	doc-derived (doc)
keep	GetDC	doc-derived (doc)
keep	GetDCEx	doc-derived (doc)
keep	GetDIBColorTable	doc-derived (doc)
keep	GetDeviceCaps	doc-derived (doc)
keep	GetDevicePower	doc-derived (doc)
keep	GetDeviceUniqueID	doc-derived (doc)
keep	GetDirectCallerProcessId	doc-derived (doc)
keep	GetDiskFreeSpaceExW	doc-derived (doc-generic)
keep	GetDllVersion	doc-derived (doc)
keep	GetDoubleClickTime	doc-derived (doc)
keep	GetEventData	doc-derived (doc)
keep	GetExitCodeProcess	doc-derived (doc)
keep	GetExitCodeThread	doc-derived (doc)
keep	GetFiberData	doc-derived (doc)
keep	GetFileAttributesExW	doc-derived (doc-generic)
keep	GetFileAttributesW	doc-derived (doc-generic)
keep	GetFileInformationByHandle	doc-derived (doc)
keep	GetFileSize	doc-derived (doc)
keep	GetFileTime	doc-derived (doc)
keep	GetFileVersionInfoSizeW	doc-derived (doc-generic)
keep	GetFileVersionInfoW	doc-derived (doc-generic)
keep	GetFontData	doc-derived (doc)
keep	GetIdleTime	doc-derived (doc)
keep	GetKeyboardLayoutList	doc-derived (doc)
keep	GetKeyboardType	doc-derived (doc)
keep	GetLastError	doc-derived (doc)
keep	GetLayout	doc-derived (doc)
keep	GetLocalTime	doc-derived (doc)
keep	GetMessagePos	doc-derived (doc)
keep	GetMessageQueueReadyTimeStamp	doc-derived (doc)
keep	GetMessageSource	doc-derived (doc)
keep	GetMessageW	doc-derived (doc-generic)
keep	GetModuleFileNameW	doc-derived (doc-generic)
keep	GetModuleHandleW	doc-derived (doc-generic)
keep	GetModuleInformation	doc-derived (doc)
keep	GetMonitorInfo	doc-derived (doc)
keep	GetMouseMovePoints	doc-derived (doc)
keep	GetMsgQueueInfo	doc-derived (doc)
keep	GetNearestColor	doc-derived (doc)
keep	GetNearestPaletteIndex	doc-derived (doc)
keep	GetObjectType	doc-derived (doc)
keep	GetObjectW	doc-derived (doc-generic)
keep	GetOutlineTextMetricsW	doc-derived (doc-generic)
keep	GetOwnerProcess	doc-derived (doc)
