name	page	os_versions	header	link_library	catalog
_InterlockedExchange	ms933771(v=msdn.10)		winbase.h		catalog-windows-ce-50.tsv
_InterlockedExchangeAdd	ms933772(v=msdn.10)		winbase.h		catalog-windows-ce-50.tsv
_InterlockedIncrement	ms933773(v=msdn.10)		winbase.h		catalog-windows-ce-50.tsv
PDATA_EH	ms940765(v=msdn.10)	Windows CE .NET 4.0 and later.	winnt.h		catalog-windows-ce-50.tsv
_IMAGE_ALPHA_RUNTIME_FUNCTION_ENTRY	ms940731(v=msdn.10)	Windows CE .NET 4.0 and later.	winnt.h		catalog-windows-ce-50.tsv
_IMAGE_CE_RUNTIME_FUNCTION_ENTRY	ms940664(v=msdn.10)	Windows CE .NET 4.0 and later.	winnt.h		catalog-windows-ce-50.tsv
__emul	ms933264(v=msdn.10)		winnt.h		catalog-windows-ce-50.tsv
__emulu	ms933268(v=msdn.10)		winnt.h		catalog-windows-ce-50.tsv
__ll_lshift	ms940753(v=msdn.10)		winnt.h		catalog-windows-ce-50.tsv
__ll_rshift	ms940754(v=msdn.10)		winnt.h		catalog-windows-ce-50.tsv
__ull_rshift	ms933753(v=msdn.10)		winnt.h		catalog-windows-ce-50.tsv
