include/Shobjidl.h	SHGDN_INFOLDER	hdr=0x0001	aa453709:0x4; ee504556:0x4
include/Sspi.h	SECBUFFER_MISSING	hdr=0x0004	ee498798:0x1; ms925885:0x1
include/Sspi.h	SECBUFFER_EXTRA	hdr=0x0005	ee498798:0x4; ms925885:0x4
include/Sspi.h	SECBUFFER_STREAM_TRAILER	hdr=0x0006	ee498798:0x3; ms925885:0x3
include/Sspi.h	SECBUFFER_STREAM_HEADER	hdr=0x0007	ee498798:0x1; ms925885:0x1
include/Winbase.h	DLL_PROCESS_DETACH	hdr=0	aa446913:0x11be58
include/Winbase.h	DLL_PROCESS_ATTACH	hdr=1	aa446913:0x11bde0
include/Windef.h	MAX_PATH	hdr=260	ee495176:0x80; ee495176:0x80; ms897592:0x80
include/Winreg.h	REG_SZ	hdr=1	ee493763:0x0; ee493763:0x0; ms899488:0x0; ms924595:0x0
include/Winreg.h	REG_DWORD	hdr=4	ee486075:0x0; ee487835:0x1; ee487835:0x1; ee494502:0x1; ms881704:0x1; ms892490:0x0
