name	hdr	cited-pid	twin-path	twin-pid	status	diffs
REMOTE_NDIS_QUERY_CMPLT	include/oak/Rndis.h	ms919817	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms919817.html		no-print-in-twin	
REMOTE_NDIS_RESET_CMPLT	include/oak/Rndis.h	ms919820	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms919820.html		no-print-in-twin	
REMOTE_NDIS_RESET_MSG	include/oak/Rndis.h	ms919822	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms919822.html		no-print-in-twin	
REMOTE_NDIS_SET_CMPLT	include/oak/Rndis.h	ms919824	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms919824.html		no-print-in-twin	
RGBQUAD	include/Wingdi.h	ms939815	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503753.html	ee503753	twin-match	
RGBTRIPLE	include/Wingdi.h	ms939824	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee500218.html	ee500218	twin-match	
RGNDATA	include/Wingdi.h	ms939837	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee500234.html	ee500234	twin-match	
RGNDATAHEADER	include/Wingdi.h	ms939847	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee499122.html	ee499122	twin-match	
RIP_INFO	include/Winbase.h	ms885195			no-twin-page	
SAFEARRAY	include/Objbase.h	ms892133	/home/user/wince-docs-corpus/docs/chm/windows-ce-3.0/wcesdkroa96_SAFEARRAY_Data_Type.html		no-print-in-twin	
SECURITY_ATTRIBUTES	include/Objbase.h	ms928761			no-twin-page	
SERVICE_ADDRESSES	include/Winsock2.h	aa450894	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa450895.html	aa450895	twin-match	
SERVICE_INFO	include/Winsock2.h	aa450894	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa450902.html	aa450902	twin-match	
SERVICE_TYPE_VALUE_ABS	include/Winsock2.h	aa450894	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa450912.html	aa450912	twin-match	
SIZE	include/Windef.h	ms893070	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms940344.html	ms940344	twin-match	
SIZEL	include/Windef.h	ms898774			no-twin-page	
SPAUDIOSTATUS	include/Sapi.h	ms893502	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms893482.html		no-print-in-twin	
SPEVENT	include/Sapi.h	ms895362	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895371.html		no-print-in-twin	
SPPATHENTRY	include/Sapi.h	ms895600	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895664.html		no-print-in-twin	
SPPHRASE	include/Sapi.h	ms895689	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895672.html		no-print-in-twin	
SPPHRASEELEMENT	include/Sapi.h	ms895600	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895684.html		no-print-in-twin	
SPPHRASEPROPERTY	include/Sapi.h	ms895689	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895689.html		no-print-in-twin	
SPPHRASERULE	include/Sapi.h	ms895694	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895703.html		no-print-in-twin	
SPRECOCONTEXTSTATUS	include/Sapi.h	ms895715	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895719.html		no-print-in-twin	
SPRULEENTRY	include/Sapi.h	ms895743	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895754.html		no-print-in-twin	
SPSERIALIZEDEVENT	include/Sapi.h	ms895768	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895774.html		no-print-in-twin	
SPSERIALIZEDEVENT64	include/Sapi.h	ms895768	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895780.html		no-print-in-twin	
SPSERIALIZEDPHRASE	include/Sapi.h	ms895689	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895784.html	ms895784	twin-diff	m1 hdr='ULONG' twin='ULONGulSerializedSize'
SPSTATEINFO	include/Sapi.h	ms895974	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895810.html		no-print-in-twin	
SPTEXTSELECTIONINFO	include/Sapi.h	ms895689	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895817.html	ms895817	twin-diff	m1 hdr='ULONG' twin='ULONGulStartActiveOffset'; m2 hdr='ULONG' twin='ULONGcchActiveChars'; m3 hdr='ULONG' twin='ULONGulStartSelection'; m4 hdr='ULONG' twin='ULONGcchSelection'
SPTRANSITIONENTRY	include/Sapi.h	ms895974	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895826.html		no-print-in-twin	
SPTRANSITIONPROPERTY	include/Sapi.h	ms895822	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895831.html		no-print-in-twin	
SPVCONTEXT	include/Sapi.h	ms895842	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895850.html		no-print-in-twin	
SPVSTATE	include/Sapi.h	ms895885	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895892.html		no-print-in-twin	
SPWORD	include/Sapi.h	ms895974	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895959.html		no-print-in-twin	
SPWORDENTRY	include/Sapi.h	ms895951	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895967.html		no-print-in-twin	
SPWORDPRONUNCIATION	include/Sapi.h	ms895787	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms895972.html		no-print-in-twin	
STYLEBUF	include/Imm.h	ms906434	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-net-4x/ms921473.html	ms921473	twin-match	
SdpQueryUuidUnion	include/Bthsdpdef.h	aa450878	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa450878.html		no-print-in-twin	
SecPkgContext_StreamSizes	include/Sspi.h	ms926445	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee498163.html	ee498163	twin-match	
ServiceEnumInfo	include/Service.h	aa450899	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa450899.html		no-print-in-twin	
TBBUTTONINFOA	include/Commctrl.h	ms931482			no-twin-page	
TBREPLACEBITMAP	include/Commctrl.h	ms913817	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee500497.html	ee500497	twin-match	
TCPHeader	include/Fwapi.h	ms885685			no-twin-page	
TLIBATTR	include/Objbase.h	ms891296	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms896486.html		no-print-in-twin	
TPDC_CALIBRATION_POINT	include/oak/Tchddi.h	aa448208	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa448208.html		no-print-in-twin	
TPDC_SAMPLE_RATE	include/oak/Tchddi.h	aa448210	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa448210.html		no-print-in-twin	
TYPEATTR	include/Objbase.h	ms891299	/home/user/wince-docs-corpus/docs/chm/windows-ce-3.0/_wcesdk_oa96_TYPEATTR.html		no-print-in-twin	
VARSTRING	include/Ras.h	ms897088	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms898569.html	ms898569	twin-match	
WIN32_FIND_DATAW	include/Winbase.h	ms892378			no-twin-page	
XFORM	include/Wingdi.h	aa453061			no-twin-page	
u	include/Objbase.h	ms886983			no-twin-page	
u	include/Objbase.h	ms891300			no-twin-page	
u	include/Objbase.h	ms891630			no-twin-page	
