CreateBusAccessHandle	Windows CE 5.0 and later.	aa447690.html	CEDDK.h	
LPDDHAL_CREATEPALETTE	Windows CE 2.12 and later. Version 2.12 requires DXPAK 1.0 or later.	aa447691.html	Ddrawi.h	
LPDDHAL_CREATESURFACE	Windows CE 2.12 and later. Version 2.12 requires DXPAK 1.0 or later.	aa447692.html	Ddrawi.h	
CreateVideoPort	Windows CE 2.12 and later. Version 2.12 requires DXPAK 1.0 or later.	aa447693.html	Ddrawi.h	
CS_SocketCallback	Windows CE 5.0 and later	aa447694.html	Socksv2.h	Pcc_serv.dll
D3DM_CreateContext	Windows CE 5.0	aa447695.html	D3dmddk.h	
D3DM_CreateSurface	Windows CE 5.0	aa447696.html	D3dmddk.h	
D3DM_DestroyContext	Windows CE 5.0	aa447697.html	D3dmddk.h	
D3DM_DestroySurface	Windows CE 5.0	aa447698.html	D3dmddk.h	
D3DMDEVICEFORMAT	Windows CE 5.0	aa447699.html	D3dmddk.h	
	Windows CE 5.0	aa447700.html	D3dmddk.h	
D3DM_GetAdapterInfo	Windows CE 5.0	aa447701.html	D3dmddk.h	
D3DM_GetInfo	Windows CE 5.0	aa447702.html	D3dmddk.h	
D3DM_Initialize	Windows CE 5.0	aa447703.html	D3dmddk.h	
D3DM_LockSurface	Windows CE 5.0	aa447704.html	D3dmddk.h	
D3DM_ResourceManager	Windows CE 5.0	aa447705.html	D3dmddk.h	
	Windows CE 5.0	aa447706.html	D3dmddk.h	
D3DMTEXTURE_DESC	Windows CE 5.0	aa447707.html	D3dmddk.h	
D3DMTSS_TEXTURE	Windows CE 5.0	aa447708.html	D3dmddk.h	
D3DM_UnlockSurface	Windows CE 5.0	aa447709.html	D3dmddk.h	
D3DM_ValidateDevice	Windows CE 5.0	aa447710.html	D3dmddk.h	
D3DM_CLEAR	Windows CE 5.0	aa447711.html	D3dmddk.h	
D3DM_COLORFILL	Windows CE 5.0	aa447712.html	D3dmddk.h	
D3DM_COMMAND	Windows CE 5.0	aa447713.html	D3dmddk.h	
D3DM_COPYRECT	Windows CE 5.0	aa447714.html	D3dmddk.h	
D3DM_CREATECONTEXT_DATA	Windows CE 5.0	aa447715.html	D3dmddk.h	
D3DM_CREATECONTEXT_PTR	Windows CE 5.0.	aa447716.html	D3dmddk.h	
D3DM_CREATELIGHT	Windows CE 5.0	aa447717.html	D3dmddk.h	
D3DM_CREATEPALETTE	Windows CE 5.0	aa447718.html	D3dmddk.h	
D3DM_CREATESURFACE_DATA	Windows CE 5.0	aa447719.html	D3dmddk.h	
D3DM_CREATESURFACE_PTR	Windows CE 5.0.	aa447720.html	D3dmddk.h	
D3DM_DESTROYCONTEXT_DATA	Windows CE 5.0	aa447721.html	D3dmddk.h	
D3DM_DESTROYCONTEXT_PTR	Windows CE 5.0.	aa447722.html	D3dmddk.h	
D3DM_DESTROYSURFACE_DATA	Windows CE 5.0	aa447723.html	D3dmddk.h	
D3DM_DESTROYSURFACE_PTR	Windows CE 5.0.	aa447724.html	D3dmddk.h	
D3DM_DLL_ENTRY	Windows CE 5.0	aa447725.html	D3dmddk.h	
D3DM_DRAWINDEXEDPRIMITIVE	Windows CE 5.0	aa447726.html	D3dmddk.h	
	Windows CE 5.0	aa447727.html	D3dmddk.h	
D3DM_DRAWPRIMITIVE_DATA	Windows CE 5.0	aa447728.html	D3dmddk.h	
D3DM_DRAWPRIMITIVE_PTR	Windows CE 5.0.	aa447729.html	D3dmddk.h	
DriverEntry	Windows CE .NET 4.0 and later.	aa447730.html	Ndis.h	
