# name	action	page	note
DismountPartition	drop	ms889019	Requirements name Storeapi.lib; placed in storeapi-doc.def
DismountStore	drop	ms889024	Requirements name Storeapi.lib; placed in storeapi-doc.def
DrawFrameControl	drop	aa452970	Requirements name ?, Nclient.lib, Nclient.lib.; placed in nclient-doc.def
DrawIconEx	drop	aa452972	Requirements name ?, Icon.lib, Icon.lib.; placed in icon-doc.def
DrawMenuBar	drop	aa452975	Requirements name ?, Drawmbar.lib, Drawmbar.lib.; placed in drawmbar-doc.def
EditSession	confirm	ms885211	Requirements name Coredll (Coredll.dll.)
EditorDeregister	confirm	ms885209	Requirements name Coredll (Coredll.dll.)
EditorInitialize	confirm	ms885210	Requirements name Coredll (Coredll.dll.)
EmptyClipboard	drop	aa453019	Requirements name ?, Clipbd.lib, Clipbd.lib.; placed in clipbd-doc.def
EnableGestures	drop	ee499762(v=winembedded.60)	Requirements name TouchGesture.lib; placed in touchgesture-doc.def
EnableHardwareKeyboard	drop	aa453033	Requirements name ?, Kbdui.lib, Kbdui.lib.; placed in kbdui-doc.def
EnableMenuItem	drop	aa453034	Requirements name ?, Menu.lib, Menu.lib.; placed in menu-doc.def
EnableWindow	drop	aa453035	Requirements name ?, Wmgr_c.lib, Wmgr_c.lib.; placed in wmgr_c-doc.def
EndDeferWindowPos	drop	aa453037	Requirements name ?
EndDialog	drop	aa453038	Requirements name ?, Dlgmgr.lib, Dlgmgr.lib.; placed in dlgmgr-doc.def
EndDoc	drop	aa453039	Requirements name ?, Mgprint.lib, Mgprint.lib.; placed in mgprint-doc.def
EndPage	drop	aa453040	Requirements name ?, Mgprint.lib, Mgprint.lib.; placed in mgprint-doc.def
EndPaint	drop	aa453041	Requirements name ?, Winmgr.lib, Winmgr.lib.; placed in winmgr-doc.def
EnterCriticalSection	drop	ms885212	Requirements name ?, Coremain.lib, Coremain.lib.; placed in coremain-doc.def
EnumCalendarInfoW	drop	ms904721	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
EnumClipboardFormats	drop	aa453047	Requirements name ?, Clipbd.lib, Clipbd.lib.; placed in clipbd-doc.def
EnumDeviceInterfaces	drop	aa447790	Requirements name ?
