# name	action	page	note
ImmSimulateHotKey	drop	ms906037	Requirements name ?, Coreimm.lib, Coreimm.lib.; placed in coreimm-doc.def
ImmUnlockIMC	drop	ms906039	Requirements name ?, Coreimm.lib, Coreimm.lib.; placed in coreimm-doc.def
ImmUnlockIMCC	drop	ms906040	Requirements name ?, Coreimm.lib, Coreimm.lib.; placed in coreimm-doc.def
ImmUnregisterWordW	drop	ms906041	Requirements name ?, Coreimm.lib, Coreimm.lib.; placed in coreimm-doc.def
InflateRect	drop	ms909847	Requirements name ?, Rectapi.lib, Rectapi.lib.; placed in rectapi-doc.def
InitializeCriticalSection	drop	ms885665	Requirements name ?, Coremain.lib, Coremain.lib.; placed in coremain-doc.def
InsertMenuW	drop	ms909853	Requirements name Menu.lib, Menu.lib.; placed in menu-doc.def
IntersectRect	drop	ms909856	Requirements name ?, Rectapi.lib, Rectapi.lib.; placed in rectapi-doc.def
IsAPIReady	confirm	ms885686(v=msdn.10)	Requirements name Coredll (Coredll.dll.)
IsChild	drop	ms909862	Requirements name ?
IsClipboardFormatAvailable	drop	ms909863	Requirements name ?, Clipbd.lib, Clipbd.lib.; placed in clipbd-doc.def
IsDialogMessageW	drop	ms909864	Requirements name Dlgmgr.lib, Dlgmgr.lib.; placed in dlgmgr-doc.def
IsProcessorFeaturePresent	confirm	ms886726	Requirements name Coredll (Coredll.dll.)
IsRectEmpty	drop	ms909894	Requirements name ?, Rectapi.lib, Rectapi.lib.; placed in rectapi-doc.def
IsValidCodePage	drop	ms906218	Requirements name ?, Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
IsValidLocale	drop	ms906219	Requirements name ?, Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
IsWindow	drop	aa453233	Requirements name ?
IsWindowEnabled	drop	aa453234	Requirements name ?, Wmgr_c.lib, Wmgr_c.lib.; placed in wmgr_c-doc.def
IsWindowVisible	drop	aa453235	Requirements name ?
KillTimer	drop	aa453248	Requirements name ?
LASSClose	drop	ee497926(v=winembedded.60)	Requirements name ?
LASSGetResult	drop	ee498744(v=winembedded.60)	Requirements name ?
LASSGetValue	drop	ee498753(v=winembedded.60)	Requirements name ?
LCMapStringW	drop	ms906221	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
LeaveCriticalSection	drop	ms886733	Requirements name ?, Coremain.lib, Coremain.lib.; placed in coremain-doc.def
LoadAcceleratorsW	drop	aa453407	Requirements name Accel.lib, Accel.lib.; placed in accel-doc.def
LoadAnimatedCursor	drop	aa453408(v=msdn.10)	Requirements name Cursor.lib; placed in cursor-doc.def
LoadBitmapW	drop	aa453409	Requirements name Loadbmp.lib, Loadbmp.lib.; placed in loadbmp-doc.def
LoadCursorW	drop	aa453410(v=msdn.10)	Requirements name Cursor.lib; placed in cursor-doc.def
LoadFSDEx	drop	ms891384	Requirements name ?, Device.lib, Device.lib.; placed in device-doc.def
LoadIconW	drop	aa453411	Requirements name Icon.lib, Icon.lib.; placed in icon-doc.def
LoadImageW	drop	aa453413	Requirements name Loadimg.lib, Loadimg.lib.; placed in loadimg-doc.def
LoadMenuW	drop	aa453415	Requirements name Menu.lib, Menu.lib.; placed in menu-doc.def
LoadStringW	drop	ms886738	Requirements name Loadstr.lib, Loadstr.lib.; placed in loadstr-doc.def
MapDialogRect	drop	ms911788	Requirements name ?, Dlgmgr.lib, Dlgmgr.lib.; placed in dlgmgr-doc.def
MapVirtualKeyW	drop	ms911789	Requirements name Kbdui.lib, Kbdui.lib.; placed in kbdui-doc.def
MessageBeep	drop	ms911826	Requirements name ?, Msgbeep.lib, Msgbeep.lib.; placed in msgbeep-doc.def
MessageBoxW	drop	ms911827	Requirements name Msgbox.lib, Msgbox.lib.; placed in msgbox-doc.def
MountPartition	drop	ms891387	Requirements name Storeapi.lib; placed in storeapi-doc.def
MoveWindow	drop	ms931458	Requirements name ?
MsgWaitForMultipleObjectsEx	drop	ms931461	Requirements name ?, Msgque.lib, Msgque.lib.; placed in msgque-doc.def
MulDiv	drop	ms864744(v=msdn.10)	Requirements name ?
NKDbgPrintfW	drop	aa451081	Requirements name None, none
NLedGetDeviceInfo	confirm	ms905318	Requirements name Coredll (Coredll.dll.)
NLedSetDevice	confirm	ms905321	Requirements name Coredll (Coredll.dll.)
OffsetRect	drop	ms911891	Requirements name ?, Rectapi.lib, Rectapi.lib.; placed in rectapi-doc.def
OpenClipboard	drop	ms911905	Requirements name ?, Clipbd.lib, Clipbd.lib.; placed in clipbd-doc.def
OpenPartition	drop	ms891420	Requirements name Storeapi.lib; placed in storeapi-doc.def
OpenStore	drop	ms891421	Requirements name Storeapi.lib; placed in storeapi-doc.def
OutputDebugStringW	drop	ms886769	Requirements name Nk.lib, Nk.lib.; placed in nk-doc.def
PostKeybdMessage	drop	ms911936	Requirements name ?, Kbdui.lib, Kbdui.lib.; placed in kbdui-doc.def
PtInRect	drop	aa453601	Requirements name ?, Rectapi.lib, Rectapi.lib.; placed in rectapi-doc.def
PurgeComm	drop	ms886785	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
QueryGestures	drop	ee503597(v=winembedded.60)	Requirements name TouchGesture.lib; placed in touchgesture-doc.def
QueryInfoSession	confirm	ms886786	Requirements name Coredll (Coredll.dll.)
ReadRegistryFromOEM	drop	aa447021(v=msdn.10)	Requirements name ?, Nk.lib., OEMMain.lib
RegisterClassW	drop	ms913089	Requirements name ?
RegisterClipboardFormatW	drop	ms913094	Requirements name Clipbd.lib, Clipbd.lib.; placed in clipbd-doc.def
RegisterDbgZones	drop	aa451083	Requirements name None, none
RegisterDesktop	drop	ms934026(v=msdn.10)	Requirements name ?
RegisterDirectMethods	drop	ee482823(v=winembedded.60)	Requirements name ?
RegisterEditor	confirm	ms886796	Requirements name Coredll (Coredll.dll.)
RegisterGesture	drop	ee505707(v=winembedded.60)	Requirements name TouchGesture.lib; placed in touchgesture-doc.def
RegisterHotKey	drop	ms913104	Requirements name ?, Hotkey.lib, Hotkey.lib.; placed in hotkey-doc.def
RegisterTaskBar	drop	ms939728(v=msdn.10)	Requirements name ?
RegisterTaskBarEx	drop	ms934027(v=msdn.10)	Requirements name ?
RegistryBatchNotification	drop	ee488009(v=winembedded.60)	Requirements name aygshell.lib; placed in aygshell-doc.def
RegistryCloseNotification	drop	ee488922(v=winembedded.60)	Requirements name aygshell.lib; placed in aygshell-doc.def
RegistryDeleteValue	drop	ee488640(v=winembedded.60)	Requirements name aygshell.lib; placed in aygshell-doc.def
RegistryGetDWORD	drop	ee488582(v=winembedded.60)	Requirements name aygshell.lib; placed in aygshell-doc.def
RegistryGetString	drop	ee488928(v=winembedded.60)	Requirements name aygshell.lib; placed in aygshell-doc.def
RegistryNotifyApp	drop	ee488776(v=winembedded.60)	Requirements name aygshell.lib; placed in aygshell-doc.def
RegistryNotifyCallback	drop	ee487978(v=winembedded.60)	Requirements name aygshell.lib; placed in aygshell-doc.def
RegistryNotifyMsgQueue	drop	ee488614(v=winembedded.60)	Requirements name aygshell.lib; placed in aygshell-doc.def
RegistryNotifyWindow	drop	ee488231(v=winembedded.60)	Requirements name aygshell.lib; placed in aygshell-doc.def
RegistrySetDWORD	drop	ee488764(v=winembedded.60)	Requirements name aygshell.lib; placed in aygshell-doc.def
RegistrySetString	drop	ee488611(v=winembedded.60)	Requirements name aygshell.lib; placed in aygshell-doc.def
RegistryStopNotification	drop	ee488205(v=winembedded.60)	Requirements name aygshell.lib; placed in aygshell-doc.def
RegistryTestExchangeDWORD	drop	ee488186(v=winembedded.60)	Requirements name aygshell.lib; placed in aygshell-doc.def
ReleaseMutex	drop	ms886797	Requirements name ?, Nk.lib, Nk.lib.; placed in nk-doc.def
RemoveMenu	drop	ms939775	Requirements name ?, Menu.lib, Menu.lib.; placed in menu-doc.def
RenamePartition	drop	ms891471	Requirements name Storeapi.lib; placed in storeapi-doc.def
ResourceDestroyList	drop	ms919854	Requirements name ?
ResourceMarkAsShareable	drop	ms919857	Requirements name ?
ResourceRequestEx	drop	ms919863	Requirements name ?
SHGetFileInfo	drop	aa453700	Requirements name ?
SHShowOutOfMemory	drop	aa453739	Requirements name ?, Shmisc.lib, Shmisc.lib.; placed in shmisc-doc.def
SendDlgItemMessageW	drop	ms932717	Requirements name Dlgmgr.lib, Dlgmgr.lib.; placed in dlgmgr-doc.def
SendInput	drop	ms932719	Requirements name ?, Uibase.lib, Wmgr_c.lib; placed in uibase-doc.def
SetAbortProc	drop	ms939985	Requirements name ?, Mgprint.lib, Mgprint.lib.; placed in mgprint-doc.def
SetActiveWindow	drop	ms939986	Requirements name ?, Caret.lib, Caret.lib.; placed in caret-doc.def
SetCaretBlinkTime	drop	ms940012	Requirements name ?, Caret.lib, Caret.lib.; placed in caret-doc.def
SetCaretPos	drop	ms940013	Requirements name ?, Caret.lib, Caret.lib.; placed in caret-doc.def
SetClassLong	drop	ms940014	Requirements name ?
SetClassLongW	drop	ms940014	Requirements name ?
SetClipboardData	drop	ms940015	Requirements name ?, Clipbd.lib, Clipbd.lib.; placed in clipbd-doc.def
SetCommBreak	drop	ms886804	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
SetCommMask	drop	ms886805	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
SetCommState	drop	ms886806	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
SetCommTimeouts	drop	ms886807	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
SetCursor	drop	ms940016(v=msdn.10)	Requirements name ?, Cursor.lib; placed in cursor-doc.def
SetCursorPos	drop	ms940017(v=msdn.10)	Requirements name ?, Cursor.lib; placed in cursor-doc.def
SetDlgItemInt	drop	ms940020	Requirements name ?, Dlgmgr.lib, Dlgmgr.lib.; placed in dlgmgr-doc.def
SetDlgItemTextW	drop	ms940021	Requirements name Dlgmgr.lib, Dlgmgr.lib.; placed in dlgmgr-doc.def
SetFocus	drop	ms940023	Requirements name ?, Caret.lib; placed in caret-doc.def
SetForegroundWindow	drop	ms940024	Requirements name ?
SetLocaleInfoW	drop	ms906277	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
SetMenuItemInfoW	drop	ms940027	Requirements name Menu.lib, Menu.lib.; placed in menu-doc.def
SetParent	drop	aa453645	Requirements name ?
SetPartitionAttributes	drop	ms891941	Requirements name Storeapi.lib; placed in storeapi-doc.def
SetPassword	drop	ms891953(v=msdn.10)	Requirements name ?
SetPasswordActive	drop	ms891968(v=msdn.10)	Requirements name ?
SetRect	drop	aa453648	Requirements name ?, Rectapi.lib, Rectapi.lib.; placed in rectapi-doc.def
SetRectEmpty	drop	aa453649	Requirements name ?, Rectapi.lib, Rectapi.lib.; placed in rectapi-doc.def
SetScrollInfo	drop	aa453652	Requirements name ?, Sbcmn.lib, Sbcmn.lib.; placed in sbcmn-doc.def
SetScrollPos	drop	aa453653	Requirements name ?, Sbcmn.lib, Sbcmn.lib.; placed in sbcmn-doc.def
SetScrollRange	drop	aa453654	Requirements name ?, Sbcmn.lib, Sbcmn.lib.; placed in sbcmn-doc.def
SetSysColors	drop	aa453656	Requirements name ?, Winmgr.lib, Winmgr.lib.; placed in winmgr-doc.def
SetThreadContext	drop	aa450889	Requirements name ?, Nk.lib, Nk.lib.; placed in nk-doc.def
SetTimer	drop	aa453657	Requirements name ?
SetUserDefaultLCID	drop	ms906279	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
SetUserDefaultUILanguage	drop	ms906280	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
SetWindowAutoGesture	drop	ee503736(v=winembedded.60)	Requirements name ?
SetWindowLongW	drop	aa453661	Requirements name ?
SetWindowPos	drop	aa453662	Requirements name ?
SetWindowRgn	drop	aa453663	Requirements name ?, Winmgr.lib, Winmgr.lib.; placed in winmgr-doc.def
SetWindowTextW	drop	aa453664	Requirements name ?
SetupComm	drop	aa450896	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
Shell_NotifyIcon	drop	aa453686	Requirements name ?
ShowCaret	drop	aa453729	Requirements name ?, Caret.lib, Caret.lib.; placed in caret-doc.def
ShowCursor	drop	aa453730(v=msdn.10)	Requirements name ?, Cursor.lib; placed in cursor-doc.def
ShowWindow	drop	aa453731	Requirements name ?
StartDocW	drop	ms940349	Requirements name Mgprint.lib, Mgprint.lib.; placed in mgprint-doc.def
StartPage	drop	ms940350	Requirements name ?, Mgprint.lib, Mgprint.lib.; placed in mgprint-doc.def
StringCbCatExW	drop	ms860396(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCbCatNExW	drop	ms860398(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCbCatNW	drop	ms860397(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCbCatW	drop	ms860394(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCbCopyExW	drop	ms860400(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCbCopyNExW	drop	ms860402(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCbCopyNW	drop	ms860401(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCbCopyW	drop	ms860399(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCbLengthW	confirm	ee479694(v=winembedded.60)	Requirements name Coredll (coredll.dll)
StringCbPrintfExW	drop	ms860407(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCbPrintfW	drop	ms860406(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCbVPrintfExW	drop	ms860409(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCbVPrintfW	drop	ms860408(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCchCatExW	drop	ms860411(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCchCatNExW	drop	ms860415(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCchCatNW	drop	ms860413(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCchCatW	drop	ms860410(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCchCopyExW	drop	ms860420(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCchCopyNExW	drop	ms860424(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCchCopyNW	drop	ms860422(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCchCopyW	drop	ms860418(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCchLengthW	drop	ms860431(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCchPrintfExW	drop	ms860435(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCchPrintfW	drop	ms860433(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCchVPrintfExW	drop	ms860440(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
StringCchVPrintfW	drop	ms860438(v=msdn.10)	Requirements name ?, strsafe.lib.; placed in strsafe-doc.def
SubtractRect	drop	ms940381	Requirements name ?, Rectapi.lib, Rectapi.lib.; placed in rectapi-doc.def
SystemIdleTimerReset	drop	ms940382	Requirements name ?
TimeoutSession	confirm	aa450941	Requirements name Coredll (Coredll.dll.)
TrackPopupMenuEx	drop	aa453774	Requirements name ?, Menu.lib, Menu.lib.; placed in menu-doc.def
TranslateAcceleratorW	drop	aa453775	Requirements name Accel.lib, Accel.lib.; placed in accel-doc.def
TransmitCommChar	drop	aa450957	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
UnionRect	drop	ms914081	Requirements name ?, Rectapi.lib, Rectapi.lib.; placed in rectapi-doc.def
UnregisterClassW	drop	ms914082	Requirements name ?
UnregisterHotKey	drop	ms914083	Requirements name ?
VerifyUserAsync	drop	ee497978(v=winembedded.60)	Requirements name ?
WaitCommEvent	drop	aa450985	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
WaitForAPIReady	confirm	ee482994(v=winembedded.60)	Requirements name Coredll (coredll.dll)
WaitForMultipleObjects	drop	aa450987	Requirements name ?, Nk.lib, Nk.lib.; placed in nk-doc.def
WindowFromPoint	drop	ms914099	Requirements name ?
WriteProcessMemory	drop	aa450992	Requirements name ?, Nk.lib, Nk.lib.; placed in nk-doc.def
WriteRegistryToOEM	drop	aa447038(v=msdn.10)	Requirements name ?, Nk.lib., OEMMain.lib
_CountLeadingOnes	drop	ms913682(v=msdn.10)	Requirements name ?
_CountLeadingOnes64	drop	ms913685(v=msdn.10)	Requirements name ?
_CountLeadingSigns	drop	ms913687(v=msdn.10)	Requirements name ?
_CountLeadingSigns64	drop	ms913689(v=msdn.10)	Requirements name ?
_CountLeadingZeros	drop	ms913691(v=msdn.10)	Requirements name ?
_CountLeadingZeros64	drop	ms913693(v=msdn.10)	Requirements name ?
_CountOneBits	drop	ms913694(v=msdn.10)	Requirements name ?
_CountOneBits64	drop	ms913696(v=msdn.10)	Requirements name ?
_MulHigh	drop	ms940759(v=msdn.10)	Requirements name ?
_MulUnsignedHigh	drop	ms940761(v=msdn.10)	Requirements name ?
_byteswap_uint64	drop	ms933212(v=msdn.10)	Requirements name ?
_byteswap_ulong	drop	ms933215(v=msdn.10)	Requirements name ?
_byteswap_ushort	drop	ms933220(v=msdn.10)	Requirements name ?
_cabs	confirm	ms860481(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_chgsign	confirm	ms860483(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_copysign	confirm	ms860486(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_ecvt	confirm	ms860488(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_fcvt	confirm	ms860490(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_fileno	confirm	ms860492(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_finite	confirm	ms860495(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_flushall	confirm	ms860498(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_fpclass	confirm	ms860506(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_fpieee_flt	confirm	ms860509(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_fpreset	confirm	ms860513(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_gcvt	confirm	ms860516(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_hypot	confirm	ms860519(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_isnan	confirm	ms860526(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_isunordered	drop	ms940747(v=msdn.10)	Requirements name ?
_isunorderedf	drop	ms940748(v=msdn.10)	Requirements name ?
_logb	confirm	ms860535(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_memccpy	confirm	ms860546(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_memicmp	confirm	ms860871(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_msize	confirm	ms860937(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_nextafter	confirm	ms861004(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_scalb	confirm	ms861134(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_setmode	confirm	ms861138(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_statusfp	confirm	ms861151(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_swab	confirm	ms861247(v=msdn.10)	Requirements name Coredll (coredll.dll.)
_wfdopen	confirm	ms861280(v=msdn.10)	Requirements name Coredll (coredll.dll.)
abs	confirm	ms859602(v=msdn.10)	Requirements name Coredll (coredll.dll.)
acos	confirm	ms859603(v=msdn.10)	Requirements name Coredll (coredll.dll.)
asin	confirm	ms859604(v=msdn.10)	Requirements name Coredll (coredll.dll.)
atoi	drop	ms925597	Requirements name ?, requirements
calloc	confirm	ms859607(v=msdn.10)	Requirements name Coredll (coredll.dll.)
ceil	confirm	ms859608(v=msdn.10)	Requirements name Coredll (coredll.dll.)
clearerr	confirm	ms859609(v=msdn.10)	Requirements name Coredll (coredll.dll.)
div	confirm	ms859616(v=msdn.10)	Requirements name Coredll (coredll.dll.)
exp	confirm	ms859618(v=msdn.10)	Requirements name Coredll (coredll.dll.)
fabs	confirm	ms859619(v=msdn.10)	Requirements name Coredll (coredll.dll.)
feof	confirm	ms859621(v=msdn.10)	Requirements name Coredll (coredll.dll.)
ferror	confirm	ms859622(v=msdn.10)	Requirements name Coredll (coredll.dll.)
fflush	confirm	ms859623(v=msdn.10)	Requirements name Coredll (coredll.dll.)
fgetpos	confirm	ms859625(v=msdn.10)	Requirements name Coredll (coredll.dll.)
floor	confirm	ms859629(v=msdn.10)	Requirements name Coredll (coredll.dll.)
fmod	confirm	ms859630(v=msdn.10)	Requirements name Coredll (coredll.dll.)
fread	confirm	ms859637(v=msdn.10)	Requirements name Coredll (coredll.dll.)
free	confirm	ms859638(v=msdn.10)	Requirements name Coredll (coredll.dll.)
frexp	confirm	ms859639(v=msdn.10)	Requirements name Coredll (coredll.dll)
fseek	confirm	ms859641(v=msdn.10)	Requirements name Coredll (coredll.dll.)
fsetpos	confirm	ms859643(v=msdn.10)	Requirements name Coredll (coredll.dll.)
ftell	confirm	ms859644(v=msdn.10)	Requirements name Coredll (coredll.dll.)
fwrite	confirm	ms859645(v=msdn.10)	Requirements name Coredll (coredll.dll.)
keybd_event	drop	aa453245	Requirements name ?, Uibase.lib, Uibase.lib.; placed in uibase-doc.def
labs	confirm	ms859660(v=msdn.10)	Requirements name Coredll (coredll.dll.)
ldexp	confirm	ms859661(v=msdn.10)	Requirements name Coredll (coredll.dll.)
ldiv	confirm	ms859662(v=msdn.10)	Requirements name Coredll (coredll.dll.)
longjmp	confirm	ms859664(v=msdn.10)	Requirements name Coredll (coredll.dll.)
malloc	confirm	ms859665(v=msdn.10)	Requirements name Coredll (coredll.dll.)
mbstowcs	confirm	ms859667(v=msdn.10)	Requirements name Coredll (coredll.dll.)
memmove	confirm	ms859671(v=msdn.10)	Requirements name Coredll (coredll.dll.)
modf	confirm	ms859743(v=msdn.10)	Requirements name Coredll (coredll.dll.)
pow	confirm	ms859860(v=msdn.10)	Requirements name Coredll (coredll.dll.)
qsort	confirm	ms860352(v=msdn.10)	Requirements name Coredll (coredll.dll.)
rand	confirm	ms860353(v=msdn.10)	Requirements name Coredll (coredll.dll.)
realloc	confirm	ms860357(v=msdn.10)	Requirements name Coredll (coredll.dll.)
setjmp	confirm	ms860366(v=msdn.10)	Requirements name Coredll (coredll.dll.)
setvbuf	confirm	ms860368(v=msdn.10)	Requirements name Coredll (coredll.dll.)
sqrt	confirm	ms860375(v=msdn.10)	Requirements name Coredll (coredll.dll.)
srand	confirm	ms860377(v=msdn.10)	Requirements name Coredll (coredll.dll.)
towlower	confirm	ms860473(v=msdn.10)	Requirements name Coredll (coredll.dll.)
towupper	confirm	ms860474(v=msdn.10)	Requirements name Coredll (coredll.dll.)
wcstombs	confirm	ms861432(v=msdn.10)	Requirements name Coredll (coredll.dll.)
wsprintfW	drop	aa450993	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
wvsprintfW	drop	aa450994	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
