# name	page_ids	header	status	note
DMSDLINFO	ms895034	Devmgmt.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
DMSINVPKGID	ms895037	Devmgmt.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
EnumCalendarInfoProc	ms904722	Winnls.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
EnumDateFormatsProc	ms904740	Winnls.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
EnumLocalesProc	ms904848	Winnls.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
EnumTimeFormatsProc	ms905083	Winnls.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
ExchangeClientRequestStatus	aa514944	IExchangeClient.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
ExchangeClientRequestType	aa514947	IExchangeClient.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
GetObjTypeInfo	aa513866	Cesync.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
HREPLFLD	aa513869	Cesync.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
HREPLITEM	aa513871	Cesync.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
HREPLOBJ	aa513872	Cesync.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IMC_GETCONVERSIONMODE	ms905959	Imm.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IMC_GETOPENSTATUS	ms905960	Imm.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IMC_GETSENTENCEMODE	ms905961	Imm.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IMC_SETCONVERSIONMODE	ms905968	Imm.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IMC_SETOPENSTATUS	ms905969	Imm.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IMC_SETSENTENCEMODE	ms905970	Imm.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IMR_CANDIDATEFORM	ms906055	Imm.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IMR_COMPOSITIONFONT	ms906056	Imm.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IMR_COMPOSITIONFORM	ms906147	Imm.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IMR_CONFIRMRECONVERTSTRING	ms906166	Imm.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
