header	name	page	os_versions	min	max	guard
include/Tapi.h	LINEMEDIAMODE_G4FAX	ms894389	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIAMODE_INTERACTIVEVOICE	ms894389	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIAMODE_MIXED	ms894389	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIAMODE_TDD	ms894389	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIAMODE_TELETEX	ms894389	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIAMODE_TELEX	ms894389	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIAMODE_VIDEOTEX	ms894389	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIAMODE_VOICEVIEW	ms894389	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIAMODE_UNKNOWN	ms894389	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEOFFERINGMODE_ACTIVE	ms894409	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEOFFERINGMODE_INACTIVE	ms894409	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEOPENOPTION_PROXY	ms894421	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEOPENOPTION_SINGLEADDRESS	ms894421	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEPARKMODE_DIRECTED	ms894422	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEPARKMODE_NONDIRECTED	ms894422	Windows CE 3.0 and later.	0x0300		
