header	name	page	os_versions	min	max	guard
include/Tapi.h	LINEMEDIACONTROL_PAUSE	ms894388	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIACONTROL_RATENORMAL	ms894388	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIACONTROL_RATEDOWN	ms894388	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIACONTROL_RATEUP	ms894388	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIACONTROL_RESET	ms894388	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIACONTROL_RESUME	ms894388	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIACONTROL_START	ms894388	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIACONTROL_VOLUMEDOWN	ms894388	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIACONTROL_VOLUMENORMAL	ms894388	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIACONTROL_VOLUMEUP	ms894388	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIAMODE_AUTOMATEDVOICE	ms894389	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIAMODE_DATAMODEM	ms894389	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIAMODE_ADSI	ms894389	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIAMODE_DIGITALDATA	ms894389	Windows CE 3.0 and later.	0x0300		
include/Tapi.h	LINEMEDIAMODE_G3FAX	ms894389	Windows CE 3.0 and later.	0x0300		
